age,income,loan_amount,credit_score,employment_years,num_prev_loans,missed_payments,debt_to_income,loan_duration,interest_rate,default
57,112088,394929,411,17,1,12,0.68,12,4.95,1
21,16014,199692,716,20,1,10,0.71,60,19.71,0
19,25103,151826,584,12,9,9,0.64,36,14.54,0
23,125317,112584,484,14,2,11,0.95,24,9.75,1
59,179530,83113,520,9,7,6,0.83,24,11.93,1
21,97409,494847,743,0,5,12,0.43,48,3.47,0
46,38248,353928,416,28,5,6,0.34,60,17.58,1
35,189588,40282,369,5,8,9,0.59,48,11.05,0
43,175133,172809,369,8,7,11,0.79,60,18.71,1
61,170242,495643,726,9,1,3,0.48,60,16.82,0
51,23024,291268,742,14,5,10,0.71,12,17.33,0
27,100947,337246,436,8,0,5,0.07,60,20.44,0
53,189875,400412,803,22,8,3,0.88,48,16.89,0
31,165368,328671,430,13,3,3,0.75,60,12.21,1
48,106829,397515,517,10,3,5,0.4,60,11.58,0
65,107708,398086,470,6,8,8,0.4,24,5.63,1
32,101664,101651,774,23,2,11,0.14,24,20.15,0
25,164329,251549,428,25,4,12,0.78,24,19.74,1
31,158927,90395,356,29,0,14,0.74,36,8.42,1
40,100178,16345,480,1,5,6,0.62,24,21.98,1
57,116121,391688,545,13,2,1,0.14,36,15.96,0
38,35025,301221,443,5,0,13,0.29,36,13.53,1
33,150530,397573,350,4,9,5,0.46,48,3.38,0
62,78610,202472,667,4,5,13,0.29,24,11.42,0
35,85843,17055,758,28,9,4,0.44,60,17.09,0
64,122237,370837,517,18,1,5,0.25,12,4.97,0
41,195903,90283,556,18,7,12,0.36,60,13.11,0
43,189499,49484,455,5,1,7,0.64,24,24.86,1
42,145299,82514,741,27,3,7,0.85,60,18.76,0
62,184578,95135,324,25,2,14,0.4,24,15.03,1
58,20668,302915,835,28,8,2,0.67,24,14.73,0
46,193267,193726,359,9,1,8,0.17,60,3.96,0
32,88233,444756,766,22,2,5,0.54,36,24.06,0
62,170489,219223,733,13,6,6,0.88,48,23.42,0
18,96982,377428,365,16,3,8,0.08,48,18.01,1
42,121133,122399,405,29,5,14,0.29,48,5.18,0
24,25751,372029,395,2,2,13,0.17,48,7.57,1
26,61218,427593,467,27,0,12,0.53,12,7.05,1
41,141649,493783,341,0,5,6,0.66,24,14.43,1
18,22352,185645,403,9,3,9,0.1,12,7.57,1
61,103835,178805,503,2,1,8,0.11,48,18.31,0
25,112493,134344,819,4,6,0,0.83,48,15.0,0
41,43927,147832,581,24,9,12,0.46,60,3.39,0
28,187166,118226,342,18,4,0,0.47,48,19.37,0
68,116948,104250,409,9,5,2,0.9,24,7.15,0
34,44493,292906,509,29,5,12,0.34,48,21.15,0
25,46707,187058,348,25,8,8,0.86,48,10.81,1
52,153368,170404,414,24,1,0,0.93,12,10.45,0
52,171470,176172,454,15,5,0,0.27,24,3.26,0
50,50842,141016,802,0,8,4,0.51,36,24.73,0
22,28261,53825,370,5,3,7,0.53,60,16.46,1
59,91709,18877,818,8,5,1,0.83,36,12.3,0
56,110985,428206,635,27,6,3,0.32,12,5.13,0
58,121616,134065,366,4,0,14,0.77,48,18.38,1
45,82173,113443,792,26,4,5,0.92,60,9.22,0
24,46781,366756,512,13,3,14,0.81,24,24.74,1
26,28652,122674,480,9,9,0,0.87,60,23.91,0
25,20103,120074,547,1,1,14,0.69,12,19.18,0
29,40500,453499,513,4,1,3,0.86,48,24.36,0
51,115336,401474,658,0,1,3,0.2,12,5.32,0
50,181601,256881,548,24,6,8,0.69,24,9.16,0
65,128499,36629,815,9,3,8,0.71,36,8.57,0
40,164524,435795,387,28,5,5,0.45,48,4.58,0
41,64393,159030,475,25,6,7,0.12,48,24.39,1
54,177246,437681,725,24,8,11,0.61,12,4.32,0
52,181508,484069,380,21,1,9,0.1,12,21.85,1
61,62406,282919,437,26,9,3,0.39,12,19.9,0
57,78059,474791,732,8,8,9,0.4,48,11.27,0
39,162026,492849,769,29,4,7,0.95,12,3.41,0
44,97722,170279,649,2,5,14,0.32,60,3.13,0
52,27356,420769,425,14,5,2,0.79,60,7.49,1
18,143128,451848,608,3,2,1,0.1,60,13.87,0
52,17187,267199,529,12,9,5,0.53,48,13.07,0
54,92243,254084,759,5,6,4,0.53,12,15.88,0
64,50098,93697,644,19,6,7,0.62,24,19.98,0
31,167297,168945,609,16,7,14,0.78,12,11.3,0
20,149678,106505,319,22,4,0,0.74,48,6.53,0
18,72620,347864,840,4,1,10,0.73,60,20.6,1
22,178900,202277,776,29,2,11,0.44,48,10.32,0
43,141270,345343,568,14,8,9,0.7,12,9.31,1
31,172561,161390,302,7,5,2,0.49,48,19.81,0
56,29387,38734,315,24,7,6,0.11,24,23.55,1
44,84463,218299,657,4,7,12,0.85,48,23.13,0
26,148663,154594,432,23,4,9,0.85,36,6.02,1
32,194588,147728,611,12,0,13,0.34,48,14.07,0
32,106683,151965,781,0,5,11,0.87,12,5.04,1
43,77061,283637,843,0,6,3,0.73,36,24.14,0
59,96257,401848,604,6,8,9,0.41,60,7.74,0
30,76753,100872,568,21,1,4,0.35,12,7.34,0
68,99774,486864,713,4,1,7,0.93,24,22.56,1
49,157159,328923,324,13,9,0,0.69,48,24.29,1
56,176888,174524,615,14,0,0,0.39,48,18.35,0
66,38408,149338,575,20,4,11,0.63,12,5.66,0
69,139116,388331,688,29,1,6,0.56,48,13.69,0
49,146208,121603,743,24,2,14,0.52,48,20.97,0
21,32413,328751,726,16,1,12,0.63,60,15.59,0
47,128650,21940,356,23,3,11,0.53,48,5.92,0
54,74500,160075,667,17,2,8,0.64,48,6.78,0
40,99514,132880,641,6,8,3,0.87,60,22.01,0
56,71358,103408,603,21,9,7,0.94,48,14.59,0
62,81197,301959,673,25,1,9,0.69,60,18.53,1
32,178926,166941,411,17,6,14,0.89,24,11.21,1
60,91240,54297,305,27,2,6,0.82,48,14.71,1
46,31322,65107,578,28,9,13,0.32,12,24.5,0
53,128053,349937,681,18,7,1,0.89,36,10.25,0
30,21968,414898,312,19,3,13,0.11,24,17.85,1
49,42518,24622,602,6,3,4,0.35,48,6.8,0
24,66925,297552,459,7,8,8,0.63,12,5.68,1
68,126900,144909,453,12,2,12,0.52,36,20.24,0
39,108422,462426,480,26,6,12,0.54,60,21.57,1
45,16700,151479,825,17,0,8,0.77,48,17.7,1
19,108782,165381,479,23,6,2,0.23,60,6.48,0
59,38199,470134,676,10,9,10,0.93,24,8.29,1
62,190661,98190,467,8,1,11,0.44,36,23.05,0
23,178187,417111,513,22,5,2,0.9,36,9.35,0
45,20520,257356,449,0,8,1,0.39,60,21.01,0
45,124814,497303,315,21,5,6,0.59,60,9.29,1
61,182527,222984,390,7,2,5,0.46,24,23.67,0
61,138364,5370,419,20,0,14,0.66,12,23.12,1
37,187677,381356,552,11,3,4,0.22,48,3.95,0
47,29955,267630,359,1,3,6,0.41,12,19.95,1
28,190121,290906,565,14,7,3,0.11,36,6.73,0
45,159989,31613,708,20,9,4,0.59,48,7.74,0
42,79925,248876,330,23,9,8,0.92,24,13.12,1
56,122216,8196,320,17,6,14,0.09,12,15.68,1
50,85269,231009,588,16,9,10,0.64,12,10.17,0
18,177026,367709,842,14,6,8,0.75,48,15.66,1
44,56458,343493,797,19,6,3,0.24,24,6.75,0
69,104037,331983,773,19,1,5,0.3,24,3.49,0
30,167185,440132,704,8,8,1,0.23,12,15.57,0
58,114977,13572,847,2,5,2,0.32,12,14.38,0
20,58939,426441,431,19,1,8,0.15,60,18.17,1
56,44345,50853,623,18,0,5,0.38,48,17.3,0
23,192385,447606,431,17,0,7,0.38,24,22.74,1
25,125107,168347,820,19,0,14,0.78,36,13.11,0
44,136866,339523,329,29,3,10,0.77,48,3.18,1
26,84166,399321,600,7,3,4,0.77,60,16.87,0
54,193933,121074,303,0,8,1,0.56,48,17.85,0
50,112406,458112,624,23,0,6,0.34,12,14.47,0
68,64298,48209,808,23,2,5,0.42,48,18.16,0
59,193293,495391,536,14,2,10,0.34,48,10.12,0
61,59942,440703,834,18,7,14,0.57,48,6.27,0
41,18453,416267,315,29,1,1,0.89,36,17.62,1
32,117811,99244,833,25,5,5,0.31,60,8.39,0
49,69935,237067,745,9,3,12,0.46,48,13.04,0
49,137439,258516,802,11,9,7,0.64,48,13.82,0
41,189442,213472,529,27,5,12,0.81,36,13.5,0
58,23328,105300,406,5,4,0,0.28,24,16.17,0
69,30534,203033,688,28,8,3,0.3,48,3.65,0
66,100280,458372,562,12,8,0,0.85,48,24.77,0
66,51320,381826,364,3,0,1,0.12,24,18.76,0
69,64170,62175,564,12,2,0,0.59,48,12.36,0
29,115546,405065,637,16,0,5,0.82,48,7.21,0
56,95201,106551,600,29,5,10,0.88,48,4.76,0
19,23640,286120,677,0,2,5,0.06,60,17.79,0
20,176121,397761,474,4,0,0,0.38,12,9.97,0
66,151690,366938,451,27,5,3,0.28,60,8.05,0
54,147992,251984,775,23,4,13,0.56,24,11.36,0
66,58937,61866,565,16,7,13,0.62,60,16.04,0
34,158279,122752,628,17,1,13,0.95,60,17.78,0
66,179044,314222,462,6,7,3,0.51,36,17.19,0
19,156871,258564,737,15,4,7,0.55,24,21.99,0
19,174988,298257,642,7,7,5,0.42,24,7.81,0
45,85463,251592,666,11,9,1,0.18,24,17.01,0
40,108500,20401,764,13,3,4,0.32,60,5.22,0
54,52158,411100,498,18,3,3,0.27,24,15.05,0
49,99607,220432,799,10,9,9,0.77,36,15.85,0
50,134639,435779,315,11,3,3,0.54,48,7.76,0
18,86696,170486,595,12,5,11,0.32,60,11.62,0
36,76510,152214,810,7,3,7,0.49,48,21.2,0
19,135076,251200,538,0,8,4,0.25,48,6.26,0
61,73692,338636,600,8,8,2,0.22,60,12.56,0
43,145841,215536,305,27,2,9,0.82,60,23.52,1
49,30810,211329,519,1,6,11,0.9,24,14.09,1
23,151198,81693,752,13,4,14,0.12,36,18.95,0
49,176081,40135,732,12,8,3,0.74,60,21.19,0
21,126718,470448,685,15,1,0,0.46,48,7.48,0
28,105932,295006,594,1,2,5,0.4,60,7.8,0
34,15192,141262,417,3,9,10,0.67,36,19.69,1
55,51413,75199,704,11,4,12,0.29,12,19.57,0
41,158888,372510,311,15,4,14,0.07,48,4.32,1
22,54082,9331,508,9,9,9,0.24,12,10.09,0
69,80048,188258,464,2,6,3,0.22,12,11.77,0
51,138130,311792,593,3,7,5,0.08,36,21.24,0
23,65940,295693,818,5,7,1,0.34,60,12.28,0
39,178202,217854,377,22,0,4,0.48,12,23.37,0
28,55142,30761,733,4,0,10,0.71,24,24.93,0
65,51468,270406,376,17,2,8,0.34,60,20.18,0
33,176770,449475,347,2,0,7,0.23,48,17.66,1
50,156727,339716,381,9,0,2,0.26,60,11.62,0
26,193969,260792,508,10,9,0,0.85,36,4.47,0
23,176147,189544,744,18,7,9,0.23,36,15.61,0
33,155431,355002,821,13,0,2,0.84,48,10.96,0
46,144048,89667,328,20,8,7,0.45,48,10.72,0
20,57056,9677,603,27,1,10,0.89,48,18.13,0
37,66831,209580,764,10,8,2,0.42,36,13.2,0
53,74191,135334,801,27,6,4,0.21,60,19.55,0
36,136948,479081,745,20,8,1,0.54,12,11.76,0
43,179344,368581,789,3,2,14,0.58,12,6.32,0
20,123117,448833,727,23,0,0,0.62,24,13.15,0
36,29671,484245,658,21,0,10,0.42,36,23.92,0
37,42048,416811,390,5,9,9,0.09,48,20.63,1
49,40963,485675,352,16,5,14,0.61,60,7.53,1
24,58954,65148,503,21,6,13,0.89,36,11.61,0
69,110430,314070,455,18,8,4,0.91,24,23.41,1
58,15717,80271,301,12,5,4,0.59,12,5.72,0
50,26676,39457,656,21,4,5,0.07,60,8.59,0
57,150506,47531,357,9,1,1,0.15,12,8.77,0
56,195882,209335,553,28,1,8,0.8,60,15.56,0
35,133696,471516,479,10,7,1,0.8,48,12.04,1
57,145830,133027,792,28,0,1,0.9,60,4.76,0
18,19994,199243,334,5,7,11,0.56,48,16.84,0
28,19234,262231,374,1,9,14,0.83,36,5.18,1
45,84300,254301,588,0,6,4,0.79,12,16.34,0
42,58949,50771,670,10,6,8,0.58,60,14.15,0
67,52405,98135,628,15,4,3,0.76,60,13.86,0
40,49872,71354,603,2,2,5,0.16,24,4.48,0
48,57215,117743,520,4,6,1,0.63,12,17.06,0
47,38185,249453,463,14,6,13,0.91,36,12.49,1
59,189514,435505,779,14,6,12,0.2,48,12.04,0
52,197831,38892,754,3,1,3,0.72,36,16.12,0
24,56153,207268,674,22,2,14,0.34,24,16.34,0
33,92535,396806,519,3,2,11,0.79,36,3.33,1
43,148653,100057,553,7,3,8,0.68,48,5.75,0
65,66717,43409,487,6,8,14,0.88,12,8.2,1
69,17763,251889,490,25,9,1,0.69,24,17.92,0
66,107910,432686,688,24,0,0,0.42,60,15.69,0
19,70480,154457,514,16,6,3,0.06,60,19.67,0
18,184831,421512,674,14,6,14,0.76,12,19.29,0
65,133094,385710,385,4,3,3,0.42,36,21.77,0
29,171379,328860,773,12,0,0,0.65,60,11.29,0
22,26064,356296,830,3,2,3,0.14,24,10.59,0
54,91848,31382,346,21,4,14,0.85,48,21.28,1
49,52548,81675,364,16,1,2,0.44,36,8.23,0
26,183017,495812,774,21,6,12,0.88,48,13.15,1
58,194009,27419,445,16,9,1,0.69,36,7.28,0
52,21476,491537,681,13,9,12,0.16,24,23.1,0
36,197828,86238,365,13,6,9,0.57,48,11.97,1
65,105101,230825,816,16,9,14,0.87,24,7.67,0
33,17382,175363,392,7,4,3,0.77,48,18.22,0
20,195755,279541,725,1,9,7,0.43,36,8.38,0
37,191348,325032,767,25,5,6,0.91,24,23.76,1
41,179474,40169,393,12,0,8,0.29,36,11.09,0
50,173018,67182,432,29,3,7,0.39,36,17.62,0
41,94698,359620,733,21,3,0,0.72,48,10.6,0
69,168407,309393,640,15,7,11,0.26,48,20.76,0
28,60095,164413,613,29,1,1,0.51,24,22.73,0
66,144974,342747,511,15,0,11,0.71,60,20.33,1
25,42197,182216,819,5,6,1,0.63,12,21.67,0
53,142619,459988,458,21,5,11,0.19,48,5.24,1
55,37010,84360,567,23,4,7,0.62,36,23.33,0
57,170195,18444,773,3,7,11,0.57,12,16.73,0
37,102923,443863,709,2,1,3,0.55,24,22.12,0
52,148962,128662,773,5,1,8,0.79,12,18.06,0
65,145526,250488,655,3,8,1,0.22,12,7.44,0
42,124162,103843,492,17,0,13,0.73,60,16.41,1
52,135927,278118,570,5,5,3,0.73,60,5.0,0
42,23026,117150,413,25,2,12,0.7,12,18.31,1
46,79925,436599,822,4,4,12,0.51,60,12.0,0
35,83842,261620,354,26,7,14,0.41,60,6.34,1
63,48665,99826,364,8,6,14,0.41,12,24.54,0
35,24277,479768,571,10,3,0,0.71,48,22.82,0
19,188311,364792,801,5,7,2,0.5,60,22.66,0
52,193736,230121,661,29,9,5,0.35,12,20.35,0
33,63008,401172,445,15,1,8,0.61,48,18.22,1
58,29683,406293,508,18,6,10,0.8,60,17.41,1
53,146742,303634,585,10,4,0,0.11,12,5.33,0
50,163961,246435,309,20,5,14,0.92,60,22.81,1
21,190607,129713,485,14,2,4,0.14,48,22.38,0
50,93542,60612,763,25,9,11,0.51,12,19.45,0
31,69319,105474,433,23,6,1,0.55,48,23.4,0
38,107067,303303,470,8,6,6,0.17,36,15.17,1
65,167711,44710,512,23,1,3,0.87,24,12.85,0
37,162705,481752,829,18,0,4,0.47,36,24.29,0
25,180732,412022,801,24,9,7,0.18,60,13.21,0
24,83975,118096,326,18,1,1,0.69,48,17.11,0
20,178244,214417,367,23,7,2,0.65,12,11.21,0
34,116158,216463,707,25,9,10,0.92,48,17.0,0
50,26577,374556,408,8,2,4,0.45,60,18.84,0
65,92299,99924,373,22,3,9,0.29,12,16.74,1
29,35176,273602,561,3,7,3,0.1,36,14.32,0
68,190458,398137,667,9,2,4,0.71,48,9.6,0
39,78972,302668,536,8,5,2,0.61,24,17.16,0
39,135018,142925,665,18,1,12,0.93,60,22.99,0
63,187075,307621,585,14,2,11,0.69,60,3.15,0
47,34996,299366,677,18,0,8,0.89,48,5.95,0
55,115922,23320,675,1,8,7,0.94,36,5.64,1
55,101598,99154,375,9,3,13,0.44,36,23.31,0
62,50931,57243,308,18,5,5,0.19,24,17.58,0
68,139168,181687,495,16,6,14,0.23,24,23.94,0
25,181782,415568,589,19,1,13,0.34,48,15.82,0
44,138099,77833,360,23,7,0,0.51,12,13.16,0
44,49693,98476,688,20,8,3,0.16,36,20.43,0
51,181812,119560,307,1,9,6,0.32,12,6.54,1
38,123944,401419,668,18,1,9,0.33,12,11.39,0
47,32374,306411,344,16,4,4,0.05,48,13.26,0
50,96471,42941,643,17,1,3,0.37,24,9.57,0
45,60913,349953,674,16,4,8,0.15,12,11.17,0
64,138683,30368,326,1,6,7,0.44,48,4.72,1
50,59516,344330,492,18,5,14,0.23,24,7.36,1
22,102796,298128,656,0,3,2,0.79,12,10.38,0
65,41069,440157,361,10,1,13,0.12,12,20.51,1
36,133333,208990,361,24,6,5,0.83,24,7.01,0
21,99811,450899,721,9,9,11,0.57,24,10.63,0
52,133028,262481,679,4,8,13,0.46,60,4.43,0
66,54178,5801,576,15,0,13,0.54,60,15.26,0
34,47821,111538,730,23,2,11,0.39,48,16.45,0
61,197799,379345,414,4,6,3,0.16,48,22.04,0
45,31999,315109,420,23,8,6,0.74,36,21.02,1
47,53712,90269,824,22,4,0,0.89,60,9.28,0
46,186244,258765,715,11,6,0,0.91,24,6.01,0
63,48722,408185,462,3,9,13,0.65,60,6.43,1
23,25625,303113,636,22,6,14,0.42,48,24.32,0
52,21859,480485,678,5,3,11,0.48,48,17.81,0
58,187681,430665,623,18,4,11,0.64,48,3.94,1
54,189379,96679,472,8,1,5,0.79,24,6.01,1
41,125986,161777,363,11,7,9,0.39,12,13.69,0
46,36839,196375,400,25,0,10,0.88,48,7.57,1
66,42216,295507,621,14,1,12,0.34,60,20.68,0
63,67953,166792,365,15,2,12,0.53,12,15.61,0
48,64522,408188,757,12,6,13,0.92,60,16.48,1
52,150958,38351,752,24,5,6,0.89,48,13.18,0
50,126249,116023,558,29,6,12,0.68,24,8.63,0
69,22485,172217,725,20,4,8,0.34,12,15.97,0
38,177527,92948,477,23,3,14,0.25,12,18.77,1
49,162839,225686,579,6,6,6,0.12,48,11.16,0
40,127701,224188,643,24,2,8,0.69,48,14.11,0
50,174525,323379,316,22,9,9,0.5,48,21.47,1
20,117638,281999,595,19,6,13,0.57,36,6.27,0
35,199514,434385,501,3,1,8,0.48,24,14.99,0
42,197949,266677,493,10,7,13,0.48,24,10.67,0
59,27226,182476,448,7,5,13,0.56,48,18.46,1
48,108405,155641,674,5,2,7,0.87,36,3.41,0
20,37588,130074,334,24,2,6,0.08,48,17.75,0
57,177781,265078,668,29,4,11,0.77,48,5.26,0
63,193860,59437,328,9,2,2,0.4,24,4.42,0
41,52019,446722,520,29,5,10,0.72,36,18.94,1
67,191020,161810,352,6,1,13,0.9,24,17.09,1
49,80133,404988,652,6,7,2,0.33,48,22.69,0
64,129444,95410,691,3,8,10,0.13,60,14.43,0
39,132603,24731,375,2,6,4,0.26,12,14.66,0
40,173598,146203,793,23,2,6,0.25,48,18.55,0
19,143585,333468,821,6,9,12,0.72,36,10.11,1
44,198270,190169,416,3,3,11,0.11,60,3.81,0
59,58395,348864,579,12,9,9,0.1,36,8.06,0
19,170103,363577,474,19,1,6,0.67,48,8.24,1
43,140814,270033,594,16,8,0,0.55,48,10.38,0
34,183773,14569,750,26,4,7,0.43,12,23.76,0
57,127599,354337,817,6,1,0,0.57,36,20.71,0
50,40939,211749,320,16,9,12,0.71,60,23.59,1
26,195217,90192,372,25,5,13,0.14,12,24.97,1
60,166396,259829,335,25,6,10,0.55,36,12.54,0
65,168939,92154,806,3,1,3,0.79,48,8.0,0
56,15203,213542,532,10,0,1,0.38,12,15.32,0
46,162616,113073,796,29,6,4,0.74,48,22.38,0
59,161971,224894,505,2,0,5,0.81,24,13.25,0
43,44063,274756,725,10,2,3,0.79,24,14.12,0
52,105880,56644,343,2,3,13,0.64,12,5.96,1
67,18748,37069,390,11,1,11,0.7,12,12.25,1
42,132269,348885,769,0,6,12,0.76,36,11.51,1
41,95764,425547,766,3,4,3,0.71,60,10.74,0
30,166956,323041,753,13,0,6,0.46,60,22.52,0
24,171255,150006,632,0,7,10,0.19,24,4.3,0
53,123036,408311,806,13,9,3,0.33,24,24.39,0
62,165331,489710,769,12,6,1,0.24,24,3.18,0
37,182031,369688,320,12,3,3,0.38,48,23.8,0
18,131525,23706,527,23,1,6,0.49,60,15.06,0
25,179529,179588,675,14,6,0,0.91,12,18.45,0
63,100679,108602,429,16,1,14,0.91,24,7.12,1
33,140829,495224,713,11,5,3,0.74,36,17.39,0
31,143216,301773,370,29,0,5,0.93,12,22.4,1
29,148175,445126,703,21,6,7,0.95,12,6.07,1
68,80901,486756,696,22,6,7,0.85,12,5.8,1
40,190607,129746,636,25,3,12,0.12,60,9.69,0
32,162175,25431,804,13,3,8,0.43,24,6.56,0
45,113046,192805,575,11,9,4,0.53,36,5.43,0
51,105012,45088,312,17,4,13,0.16,48,17.92,1
19,93278,180207,302,3,1,1,0.78,36,7.7,0
49,27391,436231,523,26,8,2,0.18,36,17.67,0
40,117476,236110,474,13,9,1,0.39,36,21.96,0
39,174973,36385,684,18,3,8,0.11,48,17.34,0
68,135721,337343,540,28,8,5,0.52,36,5.63,0
42,112537,305821,846,12,2,13,0.59,36,15.62,0
39,96159,123104,313,24,8,10,0.71,24,11.66,1
39,146040,17818,494,29,0,11,0.36,24,10.55,1
66,196429,486438,696,22,6,0,0.58,24,10.01,0
69,184509,330145,730,17,3,2,0.71,12,23.45,0
59,50503,160049,605,10,6,6,0.74,36,19.34,0
23,90403,54832,633,27,9,6,0.32,60,5.94,0
32,187330,308075,709,5,5,4,0.11,60,13.47,0
60,179796,88990,302,8,3,2,0.08,60,10.0,0
54,79286,214966,751,11,3,12,0.74,48,24.51,0
50,89842,77204,794,18,7,14,0.4,24,24.52,0
25,119927,50784,716,13,6,6,0.17,24,10.03,0
61,29908,373449,690,14,3,4,0.22,24,10.75,0
61,196698,14921,672,10,5,5,0.74,48,16.19,0
22,52228,302103,351,5,5,2,0.59,36,13.54,0
56,38386,299472,675,13,0,5,0.5,12,7.69,0
21,192826,407075,694,2,1,6,0.61,24,17.53,1
23,43302,260564,441,18,3,13,0.17,36,10.35,1
62,75815,94506,385,19,5,7,0.34,60,17.38,0
49,78344,79408,763,24,5,1,0.39,12,11.44,0
69,181690,128852,345,10,0,1,0.33,60,18.4,0
47,126603,220838,537,28,7,13,0.83,36,17.69,0
64,76114,31708,309,23,1,5,0.57,36,14.19,0
52,40525,23847,829,16,4,7,0.71,60,18.5,0
57,94818,60989,477,28,3,4,0.26,12,13.14,0
69,129589,490857,305,27,4,13,0.29,60,5.56,1
33,160406,392527,606,26,4,0,0.25,60,7.01,0
30,109715,9922,847,16,9,10,0.67,60,8.41,0
67,21644,468144,626,22,7,0,0.36,12,4.39,0
59,116154,57335,655,2,9,9,0.41,48,18.65,0
47,179005,394057,694,13,6,8,0.69,12,11.08,1
36,58469,411757,599,26,8,3,0.92,60,5.06,0
34,179759,286695,825,6,0,11,0.2,24,21.04,0
36,121609,155453,584,24,5,9,0.11,24,18.04,0
45,198728,380463,629,18,5,0,0.23,36,12.95,0
43,163447,322817,349,2,1,10,0.71,48,8.44,1
54,80206,368675,677,1,7,7,0.23,36,6.34,0
43,111462,27948,837,25,5,1,0.58,36,13.08,0
40,182679,97264,443,16,9,11,0.58,24,22.48,1
26,98178,64072,359,8,8,1,0.31,12,7.14,0
29,170065,334704,374,21,9,0,0.11,36,15.51,0
18,190458,218321,302,5,4,0,0.41,36,24.16,0
18,192359,138558,747,23,6,8,0.22,48,17.02,0
64,101724,71691,574,26,5,12,0.22,24,12.68,0
51,111393,146154,829,20,4,0,0.52,12,18.76,0
49,142314,369925,514,8,5,5,0.66,48,21.14,0
65,91312,351249,784,26,3,11,0.12,12,15.99,0
