booking_id,airline,source_city,destination_city,ticket_class,stops,date_of_booking,dep_time,duration,days_until_flight,ticket_price,app_name,app_category,app_rating,reviews,app_size,installs,app_price,content_rating,last_updated,supported_device
BK01947,AirBlue,Islamabad,Istanbul,Economy,non-stop,03/06/2021,07:50,12h 10m,81,31312,"Harris, Skinner and Brooks App",Travel,1.5,3458127,36.1M,"50,000+",0,Everyone,"September 8, 2023",Both
BK00780,Emirates,Peshawar,Kuala Lumpur,Business,1 stop,24/01/2021,17:45,7h 20m,123,61673,"Calderon, Russell and Ramirez App",Social,2.6,2873021,34.6M,"500,000+",0,Everyone,"July 9, 2022",Both
BK06197,FlyJinnah,Karachi,Toronto,Economy,2 stops,24/06/2024,01:10,,113,24737,Osborn Ltd App,Lifestyle,4.8,4695156,47.1M,"100,000+",$4.99,Teen,"December 2, 2021",iOS
BK01061,FlyJinnah,Multan,New York,Business,non-stop,07/08/2022,23:00,18h 25m,33,89448,"Case, Walker and Keller App",Entertainment,4.8,2484814,68.4M,"5,000+",0,Mature 17+,"March 26, 2023",Android
BK02653,PIA,Quetta,New York,Economy,1 stop,04/07/2023,21:10,6h,104,26735,"Phelps, Graham and Mendez App",Travel,2.7,,94.2M,"1,000,000+",0,Mature 17+,"April 3, 2021",Android
BK05435,Emirates,Karachi,Toronto,Business,1 stop,15/10/2022,15:45,2h 20m,49,69935,Allen-Watson App,Lifestyle,3.7,3243265,985k,"100,000+",$2.99,Mature 17+,"August 20, 2024",Android
BK02435,pia,Islamabad,London,Economy,1 stop,10/02/2024,14:50,10h,168,23911,Howell LLC App,Travel,3.2,1068932,90.8M,"50,000+",0,Everyone,"August 25, 2022",iOS
BK00234,Emirates,Karachi,Toronto,Economy,1 stop,12/06/2024,06:50,14h 50m,149,30831,"Hinton, Fuentes and Cooper App",Social,4.3,2194833,90.0M,"50,000+",0,Mature 17+,"January 5, 2021",Android
BK07987,PIA,Quetta,Dubai,Economy,1 stop,24/06/2023,11:00,3h 55m,127,19008,Miller and Sons App,Health,1.1,1826818,6.8M,"100,000+",0,Teen,"February 12, 2020",iOS
BK02405,SereneAir,Multan,Toronto,Economy,1 stop,10/11/2024,03:50,6h 45m,175,20931,"Chan, Campbell and Sanders App",Finance,4.9,1043066,38.7M,"10,000+",0,Everyone,"June 2, 2020",Both
BK06066,AirBlue,Quetta,New York,Economy,non-stop,13/05/2022,04:20,5h 55m,162,27120,Payne-Parker App,Lifestyle,4.7,,89.9M,"5,000+",0,Everyone,"July 21, 2023",Both
BK00040,PIA,Peshawar,Dubai,Business,3 stops,19/05/2024,09:50,13h 55m,6,70309,Campos PLC App,Travel,2.7,361497,,,0,Everyone,"November 9, 2022",iOS
BK06143,SereneAir,Lahore,London,Business,1 stop,17/11/2023,03:10,5h 55m,44,65536,Jackson-Mcneil App,Business,2.3,1402082,12.5M,"100,000+",0,Teen,"April 18, 2020",Both
BK00135,PIA,Multan,Istanbul,Economy,1 stop,23/08/2024,01:20,16h 10m,12,16288,"Wade, Reyes and Rivera App",Finance,3.0,2424708,836k,,0,Teen,"April 21, 2024",iOS
BK07740,Emirates,Karachi,Toronto,Economy,1 stop,15/08/2023,12:30,15h 55m,138,25351,Ellison-Hughes App,Business,3.0,2377460,20.8M,"50,000+",0,Everyone,"June 15, 2024",iOS
BK02918,AirBlue,Lahore,New York,Economy,non-stop,26/04/2022,20:15,17h 15m,31,34375,"Bender, Lewis and Ortiz App",Social,,4145650,23.7M,"50,000+",0,Mature 17+,"December 3, 2020",Both
BK04069,Emirates,Quetta,London,Business,1 stop,05/11/2022,15:20,6h 30m,172,72013,"Lee, Miranda and Casey App",Social,3.8,3126930,9.7M,"5,000+",$1.49,Everyone,"October 17, 2020",iOS
BK02330,PIA,Lahore,Dubai,Economy,2 stops,07/05/2021,11:00,3h 50m,130,16168,"Elliott, Strickland and Zimmerman App",Business,2.8,282222,292k,"5,000+",0,Everyone,"June 26, 2023",iOS
BK02135,Emirates,Lahore,New York,Economy,2 stops,12/10/2021,08:20,17h 10m,45,18163,Vincent-Salinas App,Social,3.6,972144,73.4M,"100,000+",$2.99,Mature 17+,"May 7, 2023",Android
BK04643,AirBlue,Quetta,Istanbul,Economy,non-stop,12/10/2021,11:50,8h 50m,117,25565,Smith-Phillips App,Entertainment,2.2,2977322,49.7M,"500,000+",0,Mature 17+,"October 19, 2020",Android
BK01998,AirBlue,Multan,Kuala Lumpur,Economy,2 stops,10/01/2021,04:00,13h 20m,86,19039,Cox-Kelly App,Entertainment,3.8,4850862,762k,"10,000+",0,Everyone,"May 26, 2023",Both
BK07051,Turkish Airlines,Karachi,Toronto,Economy,2 stops,06/02/2023,12:10,1h 30m,149,19393,Moore LLC App,Finance,2.3,3540586,11.5M,"10,000+",0,Mature 17+,"June 25, 2024",iOS
BK05813,Turkish Airlines,Karachi,Kuala Lumpur,Economy,2 stops,06/10/2022,06:15,6h 45m,148,22235,"Lawson, Knight and Brown App",Travel,1.9,,80.3M,"5,000,000+",$0.99,Teen,"May 16, 2022",Android
BK03616,Turkish Airlines,Multan,New York,Economy,1 stop,14/11/2022,02:45,15h 50m,60,33026,Lopez-Rivera App,Health,1.4,2991271,936k,"100,000+",$0.99,Everyone,"May 17, 2022",Both
BK04822,FlyJinnah,Multan,Toronto,Economy,non-stop,02/04/2023,10:10,4h 25m,34,38684,"Watson, Cantu and Hudson App",Social,3.8,1494538,36.7M,"1,000,000+",0,Everyone,"January 21, 2023",Android
BK03152,Emirates,Quetta,New York,Economy,non-stop,10/03/2024,19:15,5h 45m,178,15664,Moore-Morrison App,Travel,1.4,4504720,43.8M,,0,Mature 17+,"June 14, 2020",iOS
BK07069,AirBlue,Multan,London,Business,3 stops,20/05/2024,11:15,2h,40,60849,Rice Inc App,Education,4.2,42488,451k,"100,000+",$0.99,Adults Only 18+,"March 5, 2024",iOS
BK01776,Emirates,Peshawar,Toronto,Economy,1 stop,27/01/2024,14:10,6h 55m,,23036,"Koch, Waller and Simon App",Social,2.2,178154,683k,"10,000+",$0.99,Teen,"June 14, 2023",Android
BK05505,AirBlue,Quetta,Istanbul,Economy,1 stop,16/06/2022,20:20,11h 20m,54,30328,Owens-Williams App,Education,,1368441,84.6M,"100,000+",$0.99,Mature 17+,"February 19, 2022",Android
BK05244,AirBlue,Quetta,Kuala Lumpur,Business,2 stops,15/01/2021,15:15,13h 50m,43,70728,Jenkins-Sims App,Entertainment,,3272106,315k,"10,000+",0,Everyone,"December 5, 2020",Both
BK01235,Emirates,Peshawar,Dubai,Economy,non-stop,10/09/2021,16:15,11h 10m,38,20117,"Reid, Cortez and King App",Business,2.4,2633543,823k,"500,000+",0,Teen,"September 13, 2023",iOS
BK02235,Turkish Airlines,Peshawar,Toronto,Economy,2 stops,20/12/2022,17:00,13h 10m,161,23307,Moore LLC App,Finance,2.0,2725737,,"500,000+",0,Everyone,"November 26, 2024",Android
BK00397,SereneAir,Quetta,Istanbul,Economy,2 stops,11/08/2022,12:45,18h 30m,58,13609,"Grant, Mcdowell and Arroyo App",Business,2.0,4191221,5.6M,"500,000+",0,Everyone,"March 19, 2021",iOS
BK04025,SereneAir,Islamabad,Dubai,Economy,2 stops,05/11/2024,17:15,11h 30m,135,22088,Schwartz-Turner App,Business,2.1,3329620,12.6M,"500,000+",0,Everyone,"March 8, 2020",Android
BK05446,Turkish Airlines,Multan,New York,Economy,1 stop,16/09/2021,07:45,8h 20m,27,30803,Mcintosh-Randall App,Entertainment,4.0,2492400,,"500,000+",0,Everyone,"August 25, 2021",Android
BK02708,PIA,Karachi,New York,Business,non-stop,16/08/2024,05:15,10h 20m,81,76019,"Kennedy, Brown and Miranda App",Lifestyle,3.7,2493521,73.2M,"5,000+",0,Everyone,"December 21, 2020",iOS
BK01023,PIA,Karachi,Kuala Lumpur,Economy,1 stop,03/10/2024,17:45,4h 10m,140,25084,"Frank, Bell and Reed App",Entertainment,3.0,2626976,68.7M,"50,000+",0,Everyone,"August 2, 2020",Android
BK04363,PIA,Quetta,Kuala Lumpur,Economy,2 stops,28/03/2021,03:45,18h 45m,143,24075,Padilla Group App,Business,3.9,3540515,,"5,000+",0,Adults Only 18+,"February 17, 2022",Android
BK06258,PIA,Multan,Dubai,Business,1 stop,08/04/2024,20:45,8h 25m,,59074,Tapia PLC App,Entertainment,3.1,2857585,94.6M,"10,000,000+",0,Mature 17+,"October 18, 2023",Android
BK04901,AirBlue,Quetta,London,Business,1 stop,28/12/2022,09:20,12h 20m,137,79108,"West, Wilson and Barnes App",Health,,1049781,83.1M,"1,000,000+",0,Teen,"July 5, 2023",Android
BK05400,Emirates,Multan,Dubai,Economy,non-stop,02/02/2023,02:20,17h,27,10420,"Mitchell, Rivas and Blake App",Entertainment,2.4,512541,799k,"100,000+",0,Mature 17+,"April 27, 2024",iOS
BK04620,Emirates,Lahore,New York,Business,non-stop,27/02/2021,00:00,,18,76831,"Baker, Pruitt and Perez App",Education,3.0,,126k,"50,000+",0,Teen,"December 11, 2024",Both
BK04607,SereneAir,Multan,Dubai,Business,1 stop,16/05/2023,16:45,15h 25m,7,67776,Daniel-Newman App,Entertainment,2.4,1766753,58.8M,"5,000+",$1.49,Everyone,"July 18, 2020",iOS
BK01143,Emirates,Peshawar,Istanbul,Economy,2 stops,06/01/2023,13:15,17h 30m,62,23557,Wright-Wilkins App,Education,1.9,981230,574k,"5,000+",0,Teen,"September 20, 2020",iOS
BK04782,SereneAir,Islamabad,London,Economy,3 stops,17/02/2023,14:15,12h 30m,81,5149,"Martin, Sosa and Gardner App",Social,,1535967,20.0M,"50,000+",$2.99,Everyone,"March 25, 2023",Both
BK07931,Emirates,Multan,New York,First,1 stop,26/11/2021,04:45,15h 45m,129,156628,"Brown, Richard and Taylor App",Lifestyle,2.3,4466963,,"50,000+",0,Everyone,"December 7, 2021",Both
BK02165,Emirates,Multan,Istanbul,Business,1 stop,25/03/2021,07:10,7h 25m,20,77349,Church Inc App,Travel,1.6,4412785,186k,"5,000,000+",0,Everyone,"November 27, 2024",Android
BK06980,Emirates,Peshawar,Istanbul,Economy,non-stop,25/05/2024,11:10,7h 15m,131,18593,Chapman Inc App,Travel,,1321278,13.2M,"100,000+",0,Teen,"October 1, 2023",Both
BK04635,AirBlue,Peshawar,Dubai,Economy,1 stop,14/03/2024,03:00,11h 25m,94,20683,Thompson-Dawson App,Entertainment,1.4,2727081,92.3M,"100,000+",0,Everyone,"August 23, 2020",Both
BK07559,Turkish Airlines,Islamabad,Dubai,First,non-stop,18/05/2024,14:45,10h 10m,172,162213,Young-Jones App,Social,4.5,211724,221k,"10,000+",0,Teen,"April 7, 2023",Android
BK01236,PIA,Karachi,Istanbul,Economy,1 stop,06/08/2022,10:20,6h 15m,29,26681,"Jacobs, Evans and Wood App",Entertainment,1.5,,94.6M,"5,000+",0,Mature 17+,"July 3, 2024",Android
BK00917,Turkish Airlines,Islamabad,Toronto,Economy,1 stop,22/03/2024,14:50,5h 25m,81,28686,Mckenzie Ltd App,Lifestyle,4.7,2352257,39.3M,"5,000,000+",0,Everyone,"August 4, 2021",Both
BK00381,FlyJinnah,Peshawar,Istanbul,Business,1 stop,05/04/2024,00:10,9h,58,77823,Young Inc App,Travel,2.4,1721982,72.8M,"100,000+",0,Mature 17+,"August 23, 2021",iOS
BK02731,FlyJinnah,Quetta,London,Economy,1 stop,10/08/2021,05:15,14h 55m,136,23035,Sanchez-Schneider App,Entertainment,4.1,3461933,61.5M,"1,000+",0,Everyone,"January 3, 2020",Both
BK05649,PIA,Karachi,New York,First,2 stops,17/01/2023,07:50,12h 20m,89,168179,"Rosario, Blankenship and Lam App",Lifestyle,3.9,4270027,18.8M,"100,000+",0,Everyone,"September 22, 2020",Android
BK07750,Turkish Airlines,Quetta,Dubai,Economy,1 stop,20/04/2021,11:45,2h 25m,78,23651,Bennett Ltd App,Entertainment,,997753,80.6M,"50,000+",0,Everyone,"August 13, 2022",Android
BK07980,FlyJinnah,Quetta,Toronto,Business,1 stop,04/10/2022,08:00,18h 10m,103,76441,Flores LLC App,Lifestyle,3.3,4592032,82.6M,"10,000+",0,Everyone,"June 23, 2021",Both
BK01530,Turkish Airlines,Karachi,Dubai,Business,1 stop,18/04/2023,20:15,8h 50m,54,81313,Jackson LLC App,Social,3.0,4480443,246k,"500,000+",0,Everyone,"July 14, 2024",iOS
BK06787,SereneAir,Quetta,Kuala Lumpur,Economy,non-stop,19/01/2022,03:45,17h 10m,95,28818,Perez-Diaz App,Finance,,1831120,32.5M,"500,000+",$0.99,Adults Only 18+,"January 26, 2023",Android
BK00866,FlyJinnah,Multan,Kuala Lumpur,First,non-stop,20/11/2023,00:50,5h 50m,76,161489,Thompson Ltd App,Education,1.7,3293071,869k,"100,000+",0,Teen,"November 18, 2023",iOS
BK07242,SereneAir,Peshawar,New York,Economy,2 stops,06/06/2022,00:50,16h 45m,21,6829,Mcfarland Ltd App,Lifestyle,2.9,4668274,26.3M,"100,000+",0,Everyone,"August 9, 2023",iOS
BK04987,Turkish Airlines,Peshawar,Istanbul,Economy,non-stop,03/08/2022,05:10,11h 45m,101,16611,Newman-Bruce App,Social,2.9,3136282,13.5M,"5,000+",$0.99,Teen,"May 3, 2024",iOS
BK05831,AirBlue,Peshawar,Kuala Lumpur,Economy,1 stop,03/08/2023,23:10,7h 30m,120,10422,"Jackson, Mccoy and Fuentes App",Lifestyle,,26652,70.9M,"1,000+",0,Everyone,"May 1, 2024",Android
BK06087,FlyJinnah,Peshawar,London,Business,1 stop,05/11/2021,01:50,7h 30m,128,78951,"Garcia, Frazier and Stephens App",Health,1.7,3654018,27.0M,"500,000+",$0.99,Everyone,"December 8, 2020",Android
BK05125,Emirates,Multan,Kuala Lumpur,Economy,2 stops,18/11/2022,08:30,12h 15m,23,17657,Green PLC App,Social,,924890,,"50,000+",0,Teen,"May 3, 2021",iOS
BK06725,AirBlue,Peshawar,Toronto,Economy,2 stops,19/06/2023,01:50,6h 15m,83,14397,"Butler, Le and Stanton App",Travel,1.2,2941809,,"500,000+",0,Everyone,"March 19, 2020",Both
BK00835,PIA,Karachi,Istanbul,Business,1 stop,04/09/2022,12:30,12h 45m,109,74057,Schultz Inc App,Business,1.9,1856682,9.9M,"10,000+",0,Everyone,"February 23, 2022",Android
BK00258,FlyJinnah,Karachi,Dubai,Economy,non-stop,13/03/2024,20:15,17h 25m,172,40321,"Mcknight, Buckley and Thompson App",Health,4.5,2565116,442k,"10,000+",0,Everyone,"January 18, 2021",Android
BK07440,Turkish Airlines,Lahore,New York,Economy,1 stop,10/11/2021,07:00,2h 55m,85,20055,Schmidt Inc App,Health,2.8,4679848,293k,"10,000+",$4.99,Everyone,"May 27, 2024",Android
BK04389,FlyJinnah,Karachi,London,Economy,non-stop,06/08/2021,03:00,8h 20m,39,25283,Lyons Group App,Business,4.2,1525899,65.8M,"100,000+",$0.99,Everyone,"April 27, 2024",Android
BK07309,PIA,Karachi,Toronto,Economy,1 stop,21/09/2022,04:50,2h 25m,49,19426,Gordon-Frazier App,Lifestyle,4.0,994,5.8M,"10,000+",0,Teen,"October 15, 2020",Both
BK02546,FlyJinnah,Karachi,Dubai,Economy,1 stop,21/01/2024,22:50,6h 20m,129,31249,Smith and Sons App,Health,2.7,2321421,98.3M,"5,000,000+",0,Everyone,"July 18, 2022",Android
BK07291,AirBlue,Quetta,New York,Economy,2 stops,18/05/2022,11:15,,129,14194,Morris Group App,Social,,4264550,2.3M,"500,000+",$1.49,Teen,"August 12, 2020",Android
BK03850,FlyJinnah,Karachi,Istanbul,Business,1 stop,25/07/2022,18:45,7h 50m,117,81874,"Evans, Morris and Curtis App",Social,1.1,2102708,58.3M,"50,000+",0,Mature 17+,"October 17, 2021",iOS
BK01862,AirBlue,Karachi,London,Economy,2 stops,20/02/2023,16:20,13h,9,15472,Williams LLC App,Education,2.4,4911481,830k,"100,000+",0,Everyone,"September 18, 2024",iOS
BK01353,FlyJinnah,Peshawar,Kuala Lumpur,Economy,non-stop,03/05/2023,03:10,4h 20m,25,35140,"Castro, Solis and Lewis App",Travel,2.2,1408792,,"100,000+",0,Everyone,"August 23, 2024",Android
BK03699,AirBlue,Karachi,Toronto,Economy,1 stop,13/08/2024,05:15,13h 15m,26,30814,"Oneal, Jacobs and Goodman App",Lifestyle,4.2,979724,4.7M,"100,000+",0,Everyone,"May 1, 2022",iOS
BK00995,FlyJinnah,Karachi,London,Business,1 stop,20/11/2022,08:10,1h 20m,129,64534,"Blanchard, Butler and Contreras App",Lifestyle,4.2,28894,56.1M,"50,000+",0,Mature 17+,"February 14, 2020",Android
BK00245,SereneAir,Karachi,London,Business,2 stops,05/07/2023,20:30,,61,87391,"Gonzalez, Oneal and Gonzalez App",Health,3.7,233808,327k,"50,000+",0,Everyone,"July 21, 2022",Android
BK06523,AirBlue,Multan,London,Business,1 stop,27/09/2024,23:10,18h 25m,74,74062,Garcia PLC App,Travel,3.9,3018635,62.6M,"100,000+",0,Mature 17+,"December 10, 2024",Both
BK02757,SereneAir,Peshawar,Dubai,Economy,1 stop,07/09/2023,07:15,8h 15m,144,26858,Gay LLC App,Business,4.0,954243,12.3M,"100,000+",$0.99,Everyone,"November 16, 2022",Both
BK00738,SereneAir,Peshawar,Istanbul,Economy,3 stops,17/09/2024,00:20,3h 10m,168,22981,Gross-Herring App,Business,1.4,3883402,902k,"10,000+",0,Everyone,"November 13, 2023",Both
BK05587,AirBlue,Karachi,Istanbul,Economy,1 stop,13/08/2022,21:30,17h 55m,116,14089,"Johnson, King and Baker App",Travel,2.1,3046783,712k,"50,000+",0,Teen,"February 22, 2020",iOS
BK00594,Emirates,Peshawar,New York,Economy,2 stops,21/09/2021,07:20,9h 30m,159,16573,Arnold PLC App,Lifestyle,2.8,2001189,12.1M,"100,000+",$1.49,Everyone,"March 1, 2021",Both
BK02543,SereneAir,Quetta,Dubai,Economy,1 stop,28/06/2023,20:45,8h 55m,162,21494,Mercado LLC App,Education,4.9,3472115,13.7M,"10,000+",0,Mature 17+,"June 17, 2024",iOS
BK07187,FlyJinnah,Islamabad,New York,Economy,2 stops,01/02/2024,18:50,2h 20m,32,18048,"Drake, Farrell and Reed App",Health,2.3,3068017,67.5M,"10,000+",0,Everyone,"December 19, 2022",Android
BK05788,SereneAir,Islamabad,Toronto,Economy,1 stop,15/05/2021,14:10,9h 55m,4,5096,Fleming PLC App,Business,1.3,4856539,988k,"1,000,000+",0,Everyone,"March 19, 2021",Android
BK04508,AirBlue,Quetta,London,Economy,non-stop,13/08/2024,02:20,6h 55m,101,19673,Clark-Bennett App,Finance,4.4,4494191,38.1M,,$4.99,Mature 17+,"November 5, 2024",Both
BK06868,FlyJinnah,Islamabad,Kuala Lumpur,Economy,1 stop,27/04/2024,07:30,1h 25m,23,25806,Powell LLC App,Entertainment,3.2,2815745,18.6M,"10,000,000+",0,Mature 17+,"December 24, 2023",iOS
BK07167,AirBlue,Multan,Toronto,Economy,1 stop,05/06/2023,05:15,1h,64,25756,Contreras Inc App,Education,3.7,3532188,44.9M,"5,000+",0,Mature 17+,"June 16, 2022",Android
BK07470,Emirates,Peshawar,Kuala Lumpur,Business,3 stops,21/04/2024,13:15,11h 30m,163,67669,Olson Ltd App,Lifestyle,1.4,3234515,34.4M,"1,000,000+",$2.99,Adults Only 18+,"December 26, 2020",Android
BK02244,PIA,Islamabad,New York,Economy,1 stop,20/02/2021,19:10,6h 10m,150,17915,Yoder-Rasmussen App,Finance,3.3,4457033,562k,"100,000+",$0.99,Mature 17+,"September 22, 2024",Both
BK07704,SereneAir,Multan,Toronto,Economy,non-stop,14/03/2021,20:30,13h,168,34606,Harrison and Sons App,Finance,4.2,4228705,46.0M,"500,000+",$1.49,Everyone,"January 9, 2023",Android
BK00500,Turkish Airlines,Islamabad,London,Economy,non-stop,20/03/2024,12:50,9h 50m,165,22342,Foster and Sons App,Entertainment,3.6,984125,14.0M,"100,000+",0,Adults Only 18+,"October 2, 2022",Both
BK03518,Emirates,Lahore,Istanbul,Business,1 stop,23/06/2021,15:10,16h 20m,41,94410,Sampson and Sons App,Education,4.1,1046357,988k,,0,Everyone,"June 8, 2020",Android
BK02034,Emirates,Quetta,Kuala Lumpur,Economy,2 stops,15/10/2022,09:50,7h 25m,34,21642,Leonard-Ryan App,Travel,2.8,,40.0M,"100,000+",0,Adults Only 18+,"September 13, 2024",Both
BK01515,Turkish Airlines,Peshawar,New York,Business,non-stop,13/07/2021,01:15,16h 45m,124,66861,Bishop PLC App,Business,1.7,1107196,205k,"500,000+",$0.99,Mature 17+,"May 5, 2021",iOS
BK04127,SereneAir,Multan,New York,Business,non-stop,08/07/2023,15:00,16h 55m,8,86275,Fisher LLC App,Business,3.6,1441049,30.9M,"1,000,000+",0,Mature 17+,"July 17, 2020",Android
BK03848,PIA,Peshawar,Dubai,Economy,1 stop,23/04/2022,14:20,13h 45m,99,6719,"Vargas, Guerrero and Mccullough App",Lifestyle,2.9,,88.7M,"50,000+",0,Teen,"June 1, 2023",iOS
BK01128,SereneAir,Peshawar,New York,Economy,3 stops,07/02/2022,02:20,11h,53,5000,Johnson-Carr App,Social,1.5,33243,,"500,000+",0,Everyone,"April 3, 2021",iOS
BK01772,AirBlue,Multan,Kuala Lumpur,Economy,1 stop,22/10/2022,17:15,1h 20m,153,14091,Carroll Inc App,Social,3.0,3385461,47.7M,"1,000,000+",0,Everyone,"October 16, 2020",Android
BK07244,PIA,Quetta,Istanbul,Economy,1 stop,03/11/2023,13:50,18h 45m,22,11001,Bond-Zimmerman App,Travel,1.4,15116,81.0M,"50,000+",$2.99,Mature 17+,"April 5, 2022",Android
BK00034,FlyJinnah,Peshawar,Kuala Lumpur,Economy,non-stop,16/02/2021,01:30,,,29011,Austin-Hinton App,Finance,3.7,1698997,38.1M,"10,000,000+",0,Adults Only 18+,"April 26, 2022",Android
BK02214,PIA,Quetta,New York,Economy,1 stop,11/08/2023,21:15,14h 10m,10,10892,"Owens, Williams and Peters App",Social,1.2,3326237,400k,"100,000+",0,Teen,"April 27, 2024",Android
BK01866,Turkish Airlines,Islamabad,London,Economy,1 stop,09/08/2022,14:45,16h 55m,28,20341,Lee and Sons App,Business,2.7,4049570,54.9M,"500,000+",0,Everyone,"April 12, 2021",Both
BK03093,Turkish Airlines,Karachi,Toronto,Business,1 stop,14/11/2021,08:10,13h 55m,20,73134,White Group App,Business,4.1,135189,793k,"1,000,000+",0,Mature 17+,"September 17, 2020",Both
BK00549,SereneAir,Karachi,Kuala Lumpur,Economy,1 stop,02/03/2023,20:15,18h 50m,93,18637,Reilly-Barrera App,Health,4.6,3495775,18.9M,"10,000,000+",0,Mature 17+,"January 3, 2023",iOS
BK03449,Turkish Airlines,Multan,Istanbul,Economy,2 stops,03/01/2024,08:50,10h 15m,143,19029,Jimenez PLC App,Health,4.2,207430,87.5M,"50,000+",0,Adults Only 18+,"April 10, 2021",Android
BK00045,FlyJinnah,Karachi,Kuala Lumpur,Business,non-stop,01/12/2023,01:45,7h 30m,97,87398,Rhodes Group App,Lifestyle,3.5,66338,68.9M,"5,000,000+",$1.49,Mature 17+,"May 25, 2023",Android
BK04134,Turkish Airlines,Islamabad,Dubai,Business,2 stops,26/03/2024,00:45,18h 15m,112,93510,"Flores, Sanford and Hayden App",Travel,1.9,2734567,,"50,000+",$2.99,Mature 17+,"September 13, 2020",Android
BK02079,FlyJinnah,Islamabad,New York,Business,non-stop,17/04/2022,02:10,6h 30m,142,68864,Hall Group App,Business,1.3,2977440,51.2M,"10,000+",$0.99,Everyone,"September 25, 2022",Both
BK01221,Emirates,Islamabad,Istanbul,First,non-stop,16/09/2023,16:45,,115,181091,Peters-Davis App,Education,4.4,3317261,31.1M,"1,000+",0,Everyone,"January 9, 2024",iOS
