customer_age,annual_income_k,credit_score,purchase_frequency,avg_transaction_value,days_since_last_purchase,total_return_amount,num_support_tickets,website_visits_30d,email_open_rate_pct,customer_lifetime_value,cancellation_risk_score,customer_segment,payment_method,subscription_tier,country_code,device_type,browser,gender,employment_status,marital_status,education_level,signup_date,last_login,subscription_end_date,customer_feedback,promo_code_used,referral_source,customer_status,timezone,newsletter_subscribed,messy_column_01,messy_column_02,messy_column_03,messy_column_04,messy_column_05,messy_column_06,messy_column_07,messy_column_08,messy_column_09,messy_column_10,messy_column_11,messy_column_12,messy_column_13,messy_column_14,messy_column_15,messy_column_16,messy_column_17,messy_column_18,messy_column_19,messy_column_20,messy_column_21,messy_column_22,messy_column_23,messy_column_24,messy_column_25,messy_column_26,messy_column_27,messy_column_28,messy_column_29,messy_column_30
52.0,23.3,,9.0,31.48,68.0,,1.0,1.0,57.2,100.0,8.0,Unknown,PayPal,expired,UK,Mobile (iOS),null,,Part-time,Single,,,2026-04-11 20:20:27,NULL,Could be better,None,Podcast,active?,MST,0,???,NaN,???,null,,N/A,null,null,N/A,N/A,,,N/A,N/A,value_4,value_6,???,,value_10,value_3,missing,N/A,???,null,value_7,value_2,N/A,missing,missing,
,35.8,652.0,,83.25,18.0,35.22,4.0,1.0,,1672.23,2.3,Premium,NA,Free,BR,,chrome mobile,NA,?,,,20250410,invalid date,NULL,meh,None,,Active,PST,1,missing,,null,value_9,,N/A,missing,value_2,unknown,missing,NaN,unknown,N/A,,,,???,NaN,,null,value_8,null,value_5,,NaN,missing,???,,value_9,N/A
55.0,38.0,626.0,15.0,55.06,36.0,101.73,5.0,6.0,26.7,100.0,,Budget,Bank Transfer,Enterprise,BR,,null,Non-binary,?,,Master's,20241105,2026-03-09 20:20:27,NULL,WILL NEVER BUY AGAIN,None,direct,pending,GMT,,,unknown,N/A,,,null,unknown,N/A,missing,,???,NaN,unknown,null,,null,missing,value_4,missing,null,unknown,,null,missing,missing,null,???,value_4,value_5,
43.0,90.9,647.0,15.0,,20.0,55.09,1.0,1.0,25.2,,72.9,Enterprise,Credit Card,Enterprise,UK,Mobile (iOS),Chrome,Prefer not to say,Student,Divorced,Master's,2026-02-03,invalid date,15/08/2026,So-so,,,Active,MST,unsubscribed,,unknown,???,,,missing,value_6,NaN,N/A,null,,,,unknown,,null,unknown,unknown,,,missing,,NaN,,,missing,missing,,???,unknown
49.0,177.6,669.0,13.0,12.22,17.0,,0.0,,29.0,,82.3,premium (legacy),crypto,basic+,??,,Firefox,male,N/A,Divorced,ms,20251028,2026-01-20 20:20:27,"May 24, 2026",👍,INVALID,Facebook,active?,,T,NaN,,missing,unknown,,missing,???,,unknown,value_5,,null,,null,null,null,,missing,missing,,unknown,value_9,missing,value_7,NaN,value_10,null,unknown,unknown,missing
41.0,46.3,682.0,17.0,6.48,4.0,,,200.0,51.1,501.44,60.5,Standard,Bank Transfer,Basic,BR,Android Phone,Edge,Non-binary,pt,separated,High School,"Mar 13, 2026",2026-03-17 20:20:27,"Nov 07, 2025",Terrible support,,,,N/A,subscribed,N/A,null,missing,,missing,missing,NaN,missing,null,N/A,,null,null,,unknown,NaN,,???,N/A,???,null,unknown,,,,NaN,null,NaN,,???
,23.2,637.0,13.0,35.69,18.0,,1.0,11.0,,559.45,46.0,Enterprise,PayPal,Enterprise,FR,laptop,null,FEMALE,?,Married,High School,,2026-01-28 20:20:27,"Jan 21, 2027",So-so,,Google,active?,EST,false,null,???,NaN,unknown,N/A,unknown,,value_4,missing,NaN,,missing,null,,value_3,,null,unknown,value_4,missing,NaN,,N/A,???,unknown,value_7,,NaN,,unknown
47.0,,558.0,,7.25,5.0,20.98,,1.0,25.8,100.0,69.0,N/A,,Free,FR,PC,Chrome,NA,ft,,Bachelor's,18/07/2024,2026-04-08 20:20:27,11/13/2025,Could be better,expired,N/A,active?,PST,F,N/A,???,value_7,value_6,unknown,N/A,,null,???,???,NaN,NaN,N/A,NaN,N/A,NaN,unknown,missing,missing,unknown,N/A,missing,,unknown,unknown,N/A,,value_3,NaN,
26.0,63.8,622.0,20.0,,10.0,83.44,0.0,1.0,35.1,414.28,,Unknown,PayPal,Basic,au,Mobile (iOS),Firefox,NA,Part-time,Divorced,,20251203,2026-04-01 20:20:27,"Jan 28, 2026",null,INVALID,N/A,deleted,N/A,T,null,???,missing,unknown,???,value_10,null,missing,,N/A,unknown,NaN,N/A,,,NaN,value_6,NaN,null,,null,missing,unknown,NaN,missing,value_6,missing,null,N/A,N/A
60.0,34.1,663.0,15.0,11.57,2.0,,2.0,1.0,35.9,17835.26,,null,Bank Transfer,Basic,FR,laptop,unknown,MALE,ft,Widowed,High School,28/10/2025,2026-02-19 20:20:27,01/19/2027,meh,SAVE20,,Suspended,EST,unsubscribed,unknown,unknown,null,missing,,,unknown,,unknown,null,NaN,N/A,value_7,missing,N/A,NaN,unknown,null,NaN,unknown,null,,missing,N/A,NaN,N/A,missing,NaN,,missing
47.0,70.2,693.0,17.0,54.11,49.0,63.84,10.0,36.0,24.7,205.65,,Enterprise,Cash,NULL,IN,Desktop,unknown,NA,pt,separated,phd,,2026-04-15 20:20:27,02/23/2027,,INVALID,Podcast,NULL,,true,N/A,value_9,,,???,value_4,value_4,,value_2,N/A,missing,N/A,???,N/A,null,N/A,,N/A,null,NaN,null,NaN,unknown,unknown,null,null,N/A,,unknown,unknown
33.0,,729.0,13.0,114.39,25.0,,4.0,,19.6,100.0,60.7,Standard,Bank Transfer,NULL,JP,Android Phone,safari (old),F,pt,separated,Associate,2025-01-13,2026-04-17 20:20:27,"May 21, 2026",Good service,??,direct,Suspended,,subscribed,missing,,missing,missing,value_3,???,unknown,,value_5,N/A,,null,null,NaN,null,NaN,unknown,missing,missing,null,NaN,N/A,missing,N/A,,,null,null,null,null
35.0,,692.0,19.0,93.86,6.0,45.6,,86.0,45.2,1071.67,46.9,Standard,??,Trial,UK,???,Safari,,Unemployed,Divorced,Some College,,2026-03-21 20:20:27,26/09/2026,,,,deleted,AST,Yes,???,???,NaN,N/A,,N/A,???,NaN,missing,value_5,N/A,,,null,???,missing,missing,,,,missing,,,NaN,missing,null,null,NaN,null,
27.0,20.0,632.0,18.0,14.07,,105.5,0.0,1.0,40.8,1009.56,78.6,Unknown,Bank Transfer,?,UK,???,null,Non-binary,N/A,Divorced,Master's,2025-06-05,invalid date,12/27/2025,👍,??,,Suspended,EST,F,missing,NaN,null,NaN,null,value_8,unknown,N/A,null,,NaN,???,unknown,,NaN,,unknown,missing,null,null,null,value_1,NaN,???,missing,,N/A,missing,null,???
57.0,,676.0,16.0,23.74,62.0,58.25,0.0,3.0,38.0,1269.06,,null,PayPal,basic+,??,Mobile,Opera,Non-binary,Retired,Divorced,PhD,2025-10-07,2026-04-19 20:20:27,NULL,Great product!,INVALID,Twitter,Active,unknown,Yes,NaN,NaN,missing,???,value_2,missing,NaN,value_10,unknown,unknown,,unknown,,,???,missing,missing,missing,,value_3,unknown,???,,,null,unknown,,NaN,,
78.0,30.8,,20.0,23.18,40.0,,1.0,3.0,36.8,1269.54,3.8,Premium,PayPal,Enterprise,UK,PC,Safari,NA,ft,single (never married),High School,10/06/2025,2026-04-10 20:20:27,2027-03-15,,FLASH50,Facebook,Active,AST,true,N/A,???,,???,???,N/A,null,,,NaN,,N/A,unknown,N/A,,missing,,value_2,N/A,???,null,???,null,unknown,,???,N/A,,unknown,missing
67.0,76.0,626.0,20.0,8.01,80.0,23.11,,1.0,9.8,498.75,7.9,Budget,crypto,?,DE,laptop,Edge,MALE,ft,Divorced,Bachelor's,02/10/2025,invalid date,2026-10-01,null,expired,Twitter,Active,N/A,No,N/A,,,???,NaN,unknown,missing,unknown,???,???,null,missing,unknown,missing,null,,,,,unknown,unknown,,,N/A,NaN,NaN,NaN,???,,
45.0,66.3,611.0,13.0,30.25,37.0,166.01,1.0,3.0,76.2,235.26,50.1,null,crypto,expired,CA,laptop,null,FEMALE,pt,Married,Some College,2024-09-25,2026-03-06 20:20:27,NULL,,FLASH50,Google,Active,EST,false,,,missing,unknown,N/A,missing,,???,,value_2,value_4,???,,null,,???,null,,???,missing,,null,,null,value_10,NaN,N/A,missing,missing,null
18.0,73.4,694.0,12.0,139.98,43.0,123.73,1.0,2.0,,1998.02,0.9,Standard,,Trial,BR,Mobile (iOS),Chrome,female,N/A,,High School,11/30/2025,2026-03-29 20:20:27,"Jan 13, 2026",So-so,,unknown,Inactive,,false,,,,value_1,,value_9,,missing,NaN,NaN,???,missing,???,???,N/A,null,missing,N/A,unknown,missing,missing,???,,,???,,unknown,unknown,,value_10
56.0,79.1,722.0,14.0,23.45,43.0,429.48,2.0,8.0,39.5,828.72,8.7,Budget,Credit Card,basic+,AU,Mobile,unknown,NA,N/A,,phd,12/06/2025,2026-02-16 20:20:27,20251210,Could be better,FLASH50,,Churned,unknown,Yes,unknown,value_8,,???,null,,value_3,missing,,NaN,,N/A,unknown,,,N/A,value_5,unknown,null,unknown,null,,,N/A,unknown,missing,null,value_10,unknown,NaN
,20.0,686.0,14.0,27.79,11.0,28.38,0.0,1.0,19.3,688.08,,Premium,,Basic,BR,PC,Firefox,male,ft,NULL,bs,02/09/2025,2026-04-10 20:20:27,"Jan 25, 2027",not bad,SAVE20,Google,Inactive,HST,false,missing,NaN,missing,value_2,missing,,unknown,value_9,NaN,value_2,null,NaN,???,,NaN,unknown,unknown,N/A,,N/A,???,N/A,,missing,missing,NaN,N/A,,,unknown
59.0,121.4,710.0,14.0,91.63,16.0,97.85,1.0,8.0,55.4,162.96,39.6,Standard,,Free,US,Android Phone,safari (old),M,Unemployed,Married,ms,"Oct 31, 2024",2026-03-18 20:20:27,25/07/2026,Good service,expired,direct,Inactive,MST,T,missing,value_6,,,unknown,,,value_4,unknown,unknown,,???,null,value_2,unknown,NaN,,N/A,,N/A,,value_10,N/A,N/A,null,,,,,
66.0,221.8,,12.0,23.14,56.0,56.73,8.0,53.0,38.4,579.04,25.4,,??,?,BR,PC,Opera,MALE,Student,Divorced,phd,2024-07-26,invalid date,"Jun 24, 2026",NaN,??,Email,pending,unknown,T,,missing,N/A,missing,N/A,N/A,unknown,missing,N/A,value_5,NaN,,NaN,null,value_2,,value_10,,unknown,NaN,,N/A,???,???,null,,,NaN,null,value_6
52.0,20.0,705.0,16.0,21.61,12.0,,5.0,200.0,50.4,,15.8,,Cash,basic+,UK,Android Phone,Safari,female,Part-time,Single,phd,2025-12-30,2026-04-15 20:20:27,NULL,Terrible support,SAVE20,Email,NULL,,F,null,NaN,NaN,NaN,null,missing,???,NaN,NaN,???,value_5,,missing,null,???,NaN,N/A,,missing,unknown,unknown,???,missing,,???,missing,???,,,???
59.0,113.3,728.0,15.0,81.38,98.0,56.59,1.0,,65.0,854.58,74.8,null,,?,,laptop,Edge,Prefer not to say,Full-time,Divorced,ms,"Dec 24, 2025",2026-04-15 20:20:27,"Nov 25, 2025",👍,,direct,Active,HST,0,unknown,,null,,unknown,unknown,N/A,NaN,,,,missing,,value_2,,value_6,???,???,,NaN,,unknown,null,unknown,unknown,NaN,,null,NaN,missing
,63.2,734.0,19.0,25.18,21.0,194.54,3.0,12.0,26.9,,54.1,null,??,Trial,UK,laptop,Edge,Non-binary,Unemployed,NULL,Master's,20240819,2026-03-13 20:20:27,NULL,★★★★☆,None,unknown,Suspended,,0,,,???,value_2,value_7,???,missing,unknown,NaN,value_5,unknown,NaN,,null,null,N/A,,missing,null,NaN,unknown,unknown,null,???,unknown,null,NaN,unknown,unknown,unknown
,141.6,637.0,19.0,64.7,,17.87,2.0,3.0,34.9,7858.56,55.2,Enterprise,NA,expired,IN,laptop,Opera,MALE,n/a,separated,Bachelor's,09/29/2024,2026-02-04 20:20:27,2026-11-09,Good service,expired,N/A,Inactive,N/A,,N/A,N/A,,,???,value_8,N/A,value_5,N/A,,,,missing,unknown,NaN,???,???,null,value_10,unknown,value_10,,N/A,,???,missing,???,null,NaN,
,23.5,588.0,12.0,6.39,32.0,175.5,6.0,1.0,,845.03,43.5,null,crypto,Pro,FR,Mobile (iOS),Edge,NA,pt,separated,phd,20240726,invalid date,31/12/2025,Great product!,SAVE20,,NULL,HST,0,unknown,NaN,null,,,unknown,NaN,,missing,unknown,missing,???,value_4,,null,N/A,null,,???,,value_7,NaN,unknown,missing,,N/A,value_5,value_5,,???
23.0,82.6,682.0,16.0,37.8,23.0,,5.0,1.0,,,97.3,N/A,crypto,Basic,??,laptop,null,M,pt,Divorced,PhD,12/20/2024,2026-02-12 20:20:27,NULL,Great product!,,Facebook,Churned,EST,Yes,,???,null,null,N/A,N/A,NaN,null,???,null,unknown,value_7,missing,null,N/A,unknown,unknown,unknown,unknown,missing,,NaN,unknown,missing,null,null,,null,unknown,null
,,654.0,13.0,25.53,58.0,80.61,2.0,1.0,39.0,273.36,39.5,null,crypto,Enterprise,,Mobile (iOS),Chrome,M,pt,NULL,bs,"Feb 25, 2025",2026-02-23 20:20:27,12/01/2025,Could be better,INVALID,Twitter,active?,,subscribed,null,unknown,N/A,N/A,value_2,NaN,value_9,???,,value_4,NaN,value_6,NaN,unknown,unknown,value_4,,N/A,missing,,null,value_9,N/A,unknown,,N/A,???,value_3,N/A,???
43.0,20.0,705.0,18.0,,3.0,,0.0,200.0,,2010.09,10.4,null,PayPal,?,N/A,Mobile (iOS),Safari,FEMALE,Self-employed,separated,bs,,2026-02-16 20:20:27,NULL,★★★★☆,,unknown,active?,GMT,F,null,,NaN,???,unknown,N/A,N/A,value_6,unknown,N/A,???,,???,,NaN,???,unknown,,,value_5,N/A,missing,null,,NaN,missing,null,missing,???,unknown
48.0,20.0,642.0,16.0,19.67,,116.15,6.0,11.0,26.2,300.17,10.2,N/A,NA,expired,US,Desktop,Opera,,N/A,Divorced,hs,04/09/2024,2026-02-11 20:20:27,NULL,null,??,Twitter,NULL,UTC,Yes,NaN,N/A,,???,unknown,null,value_2,missing,,???,null,null,N/A,missing,N/A,N/A,???,NaN,???,,,N/A,unknown,NaN,,value_9,???,N/A,value_1,null
41.0,33.5,739.0,19.0,,,,0.0,2.0,37.8,,21.6,Unknown,,NULL,FR,Mobile,Edge,,Student,single (never married),hs,05/20/2024,2026-02-24 20:20:27,20251212,,SAVE20,direct,pending,,true,N/A,N/A,missing,N/A,unknown,N/A,NaN,missing,value_6,unknown,,null,,,???,,value_5,???,value_1,???,unknown,,,???,unknown,N/A,NaN,missing,,NaN
76.0,20.0,683.0,12.0,223.6,5.0,30.6,0.0,2.0,33.3,,55.5,premium (legacy),,basic+,US,laptop,chrome mobile,NA,student,,ms,02/09/2025,2026-02-10 20:20:27,11/03/2027,,??,N/A,pending,MST,No,,???,,,NaN,unknown,,value_1,null,N/A,value_7,unknown,unknown,NaN,missing,null,???,value_8,N/A,unknown,value_4,NaN,,null,,,null,unknown,,
,20.0,692.0,25.0,55.51,8.0,205.68,0.0,5.0,43.6,100.0,72.8,Standard,PayPal,expired,FR,Mobile (iOS),chrome mobile,female,pt,,Some College,01/05/2025,2026-01-22 20:20:27,20260612,null,,direct,NULL,UTC,Yes,missing,NaN,NaN,NaN,value_7,N/A,,,NaN,N/A,unknown,missing,,???,null,,value_9,,unknown,,missing,,unknown,,value_3,???,???,null,N/A,value_9
43.0,94.3,663.0,,,6.0,105.53,1.0,9.0,34.2,238.61,43.9,null,Credit Card,Trial,??,Android Phone,Edge,,Full-time,NULL,bs,08/24/2025,2026-03-22 20:20:27,NULL,★★★★☆,,Email,Suspended,GMT,subscribed,unknown,NaN,,???,NaN,value_3,???,null,unknown,N/A,N/A,,null,,???,value_1,missing,N/A,unknown,,,,missing,???,NaN,missing,???,N/A,value_4,null
,31.5,642.0,14.0,7.18,,43.2,0.0,10.0,65.3,,59.6,Unknown,??,expired,CA,Tablet,Chrome,NA,Unemployed,Widowed,High School,"Oct 08, 2024",2026-02-02 20:20:27,20270404,Terrible support,FLASH50,Friend,,MST,1,value_9,unknown,NaN,N/A,???,NaN,???,N/A,unknown,N/A,N/A,missing,???,NaN,???,missing,N/A,unknown,,unknown,unknown,,unknown,N/A,null,value_9,,,missing,null
42.0,34.5,733.0,12.0,112.32,53.0,57.75,,1.0,40.6,798.16,59.4,Enterprise,Credit Card,?,IT,PC,Edge,Prefer not to say,Retired,,High School,10/20/2024,2026-03-01 20:20:27,20260330,meh,,Email,Inactive,UTC,subscribed,NaN,value_6,???,value_7,,value_3,,value_3,,unknown,missing,N/A,N/A,N/A,,missing,null,NaN,,???,missing,???,unknown,,???,value_4,N/A,,unknown,unknown
64.0,72.0,715.0,20.0,146.75,32.0,141.42,2.0,62.0,51.5,,13.9,,,basic+,AU,PC,null,Prefer not to say,N/A,separated,High School,20240615,invalid date,2026-05-15,,FLASH50,Twitter,Churned,MST,1,N/A,missing,missing,,null,null,???,unknown,???,,N/A,,value_2,,unknown,value_10,???,,,null,N/A,null,???,NaN,,null,N/A,value_2,???,N/A
