age,annual_income,spending_score,purchase_frequency,avg_transaction,days_since_purchase,loyalty_points,estimated_ltv
33,124175.0,87.4,16.6,3394.8,5,3472,56579.81
43,59868.0,62.9,7.3,1167.62,43,1612,7936.22
25,31489.0,16.1,2.3,631.93,36,728,1645.89
21,23851.0,24.7,3.1,265.29,45,674,1325.79
44,152920.0,95.8,16.8,2606.83,11,3858,44314.25
50,132719.0,85.4,15.9,3826.57,6,3360,60964.76
46,63753.0,48.0,4.2,1146.08,23,1581,4989.99
43,68779.0,46.7,4.4,1290.35,5,1612,5157.34
35,66841.0,53.0,6.5,1616.81,39,1789,10152.12
40,55087.0,50.6,11.1,959.32,29,1594,10457.84
55,122562.0,98.4,10.2,3027.04,11,3030,31048.91
21,28192.0,20.8,1.9,289.68,72,753,520.62
50,149360.0,92.4,14.0,2938.93,3,3640,41683.03
19,25397.0,21.5,4.7,499.6,66,783,2861.98
47,123773.0,85.2,18.8,3720.03,8,3396,69840.94
26,28309.0,27.2,4.1,601.34,73,695,2939.34
43,127369.0,91.8,7.0,3300.42,10,2859,23919.16
48,148521.0,91.7,13.4,2871.31,13,3371,38891.8
36,123311.0,93.0,16.5,2463.98,6,3323,40943.65
32,59579.0,58.9,3.8,1330.54,4,1519,5005.35
41,128338.0,80.6,14.9,3557.87,5,3288,52720.39
41,74540.0,50.9,7.4,762.04,14,1800,5834.02
34,150349.0,81.9,12.5,3443.89,5,3647,43137.99
52,135392.0,72.2,13.1,4362.34,8,3300,57416.61
26,21147.0,27.6,5.7,491.91,69,695,2860.58
52,133953.0,77.3,12.8,2847.11,9,3466,36460.81
33,55553.0,60.7,10.0,1247.61,25,1391,12691.43
26,32150.0,36.1,0.6,554.21,63,845,0.0
27,29082.0,23.5,2.7,532.82,77,783,2221.68
42,65847.0,47.9,8.6,1411.69,26,1782,11272.9
40,101325.0,86.6,11.9,3126.4,10,2817,36882.92
25,36759.0,32.5,0.6,419.2,49,718,714.92
20,26368.0,21.9,6.7,458.86,47,717,3409.44
51,154843.0,81.1,14.1,3207.25,1,3737,45742.62
47,50068.0,75.6,9.9,1218.17,29,1513,11541.0
30,27869.0,14.8,2.3,400.3,81,840,861.24
31,67750.0,51.7,9.5,661.9,40,2027,5900.43
49,134495.0,93.2,18.2,2835.91,11,3667,50759.09
30,74121.0,42.6,6.7,1067.67,14,1679,5838.93
30,26395.0,25.9,5.2,258.63,56,784,2228.24
57,124190.0,89.7,12.6,4396.05,12,3239,55608.72
23,26089.0,29.1,1.0,655.82,62,397,66.26
48,115862.0,77.2,15.2,2846.04,8,3024,43137.77
52,122839.0,74.3,17.8,3209.73,4,3214,56883.09
44,71267.0,41.8,6.9,900.8,37,1699,6746.55
28,28190.0,26.9,4.4,428.26,36,857,2314.24
20,28346.0,20.0,1.5,430.88,19,625,643.78
18,27146.0,30.6,3.4,244.41,78,570,461.96
33,126407.0,96.4,15.1,3674.41,20,3385,56314.91
45,69825.0,43.5,11.1,1082.22,25,2143,12143.34
48,139500.0,81.3,11.5,2788.23,8,3291,32740.01
27,19155.0,39.4,2.6,464.83,40,514,1776.79
45,94196.0,91.9,13.5,3142.45,2,2442,42952.75
27,27116.0,19.4,1.3,384.15,60,677,911.82
34,68982.0,54.9,9.5,1580.81,11,1896,13989.29
21,25291.0,21.6,0.0,657.97,58,456,0.0
32,24411.0,37.2,5.8,263.02,33,718,852.14
54,131300.0,76.4,12.2,3316.43,4,3284,41197.18
39,57349.0,44.1,7.8,1017.6,28,1655,7821.82
44,60534.0,59.6,8.2,1016.17,35,1685,8327.52
33,59523.0,59.7,4.6,1177.69,29,1396,6249.01
25,30058.0,38.6,2.2,447.47,56,697,1074.15
24,28733.0,39.0,0.0,439.33,77,541,0.0
44,72059.0,60.5,11.5,1124.79,41,2037,13627.1
50,65327.0,43.8,9.0,878.21,42,1842,7290.55
31,19504.0,20.8,1.5,470.81,45,476,471.95
40,71277.0,66.7,7.0,1084.21,18,1947,7673.33
45,110815.0,84.5,13.3,3439.68,9,2796,46122.38
55,141266.0,83.3,7.5,3137.99,6,3112,24025.56
39,56108.0,55.8,9.3,1279.36,16,1588,12262.28
43,62988.0,53.0,10.8,1423.42,30,1715,14773.71
43,70442.0,46.0,8.8,911.41,26,1793,6974.1
24,28469.0,40.0,3.1,404.06,53,723,1729.55
29,27924.0,45.6,2.9,522.77,57,800,465.32
54,117859.0,88.8,12.0,2970.12,9,2875,36332.14
43,74886.0,45.7,5.8,1085.23,26,1754,6437.96
36,62897.0,54.6,11.0,1488.48,27,1746,16299.06
47,54939.0,55.4,8.9,1204.6,26,1536,10624.89
26,33415.0,15.0,4.0,370.97,91,801,826.72
44,77938.0,79.3,8.4,1308.07,31,2053,10530.98
44,62122.0,58.5,10.5,1492.55,18,1934,15988.2
53,106515.0,93.6,8.2,2639.12,11,2424,21461.66
39,61692.0,56.0,9.1,1219.9,18,1712,10934.76
47,125416.0,78.8,14.8,2089.79,8,3334,30754.41
25,23143.0,20.9,0.7,387.02,76,564,0.0
22,24963.0,15.2,3.0,321.4,66,411,1182.19
23,27129.0,30.2,2.5,275.61,43,617,607.05
36,62168.0,57.3,12.0,1214.75,36,1785,14165.34
20,18113.0,26.3,2.7,439.97,46,575,1246.91
56,138522.0,84.5,12.3,2859.31,8,3252,35951.97
42,57795.0,42.0,8.3,1321.51,29,1668,10550.15
42,57564.0,52.6,9.2,578.05,30,1642,7085.02
30,32717.0,22.1,2.5,339.05,54,656,1099.95
24,28286.0,31.6,3.2,344.81,32,730,981.05
27,63171.0,60.5,9.3,820.16,25,1771,8132.11
24,30513.0,33.8,2.9,621.05,43,578,1857.47
29,23990.0,25.5,4.7,279.04,66,854,1187.12
36,64471.0,32.8,8.7,1011.05,27,1744,8793.5
45,65555.0,68.3,7.7,1484.33,23,1579,10676.47
44,129094.0,81.0,17.3,3564.53,10,3390,62051.75
33,63128.0,61.8,7.0,1256.32,28,1631,8945.81
26,25602.0,16.0,3.6,384.75,77,739,680.6
44,132584.0,85.1,12.3,2674.69,8,3210,32487.19
48,81716.0,62.2,7.4,1654.52,17,1876,12681.93
48,125970.0,91.7,16.0,3032.38,8,3304,48840.09
25,76357.0,59.2,10.5,722.66,27,2041,7179.65
42,131197.0,73.5,11.1,3234.68,13,3298,35123.06
46,74886.0,61.3,8.5,1361.62,32,1866,10967.24
50,125196.0,86.0,17.9,2639.98,7,3406,46922.77
24,26163.0,29.7,1.5,258.16,55,725,1109.6
55,128814.0,81.7,14.2,2564.04,9,3264,36171.75
29,59717.0,59.0,7.2,1434.48,24,1778,10220.84
38,62458.0,57.4,6.5,1251.1,8,1540,8879.49
53,112162.0,79.6,11.4,3052.77,3,2799,35700.55
54,90539.0,78.9,13.1,3735.54,15,2518,49340.5
47,122235.0,86.2,14.0,3875.56,6,3197,54709.91
39,66518.0,42.4,7.9,984.03,41,1699,8070.7
36,73416.0,36.2,7.9,1246.29,34,1857,9382.43
30,56879.0,63.9,9.6,1280.4,41,1588,11881.89
54,142933.0,90.5,9.4,3748.27,15,3357,34421.23
36,74553.0,54.5,6.8,924.08,22,1898,6300.01
41,64994.0,41.8,6.9,732.55,41,1622,4910.01
41,65273.0,54.5,6.8,1394.01,17,1556,8938.04
23,29916.0,33.5,2.1,343.58,58,736,1455.7
28,25634.0,15.0,4.1,333.71,74,834,1803.17
48,77089.0,36.2,9.7,1107.7,15,1978,10324.59
22,24829.0,46.1,2.0,140.9,56,451,0.0
51,78292.0,46.7,11.1,1022.64,22,2000,11226.14
52,73060.0,43.7,7.3,1097.13,34,1961,8864.77
23,25602.0,33.4,4.4,499.2,81,785,1782.98
20,22469.0,25.2,3.5,334.31,63,671,997.64
51,117326.0,70.1,11.2,2798.03,2,3016,31900.58
41,70564.0,50.6,11.2,1394.84,10,2087,15474.71
35,124410.0,89.9,13.9,2944.12,7,3018,40666.28
46,63480.0,48.9,9.7,1500.13,42,1634,14467.21
51,68011.0,47.8,8.8,723.05,28,1796,5699.01
35,61506.0,55.9,9.0,1151.43,32,1597,10845.8
37,157201.0,73.8,10.7,3367.22,10,3559,35869.71
34,63472.0,41.7,8.2,1337.94,44,1491,10921.45
28,30989.0,32.0,3.0,412.23,48,825,1733.87
19,29350.0,36.4,5.5,456.55,68,773,2353.9
35,63534.0,32.9,5.7,1407.55,25,1268,8426.71
36,52975.0,50.1,8.6,1309.33,22,1597,11842.39
32,19848.0,27.3,5.1,566.99,93,720,3615.83
20,25785.0,18.1,3.8,252.11,45,704,612.77
42,71231.0,62.9,9.5,1389.37,5,1915,14102.12
57,129161.0,94.4,11.6,4292.55,6,3101,49584.71
39,51341.0,42.7,6.9,1105.5,34,1492,7179.94
46,70383.0,54.8,9.1,1313.38,38,1966,11788.88
37,49239.0,60.6,11.1,767.2,29,1431,8609.34
30,78141.0,68.4,10.1,866.13,33,1859,7888.57
42,65114.0,64.8,11.8,1437.89,30,1702,17384.82
51,56266.0,69.0,7.8,988.29,23,1581,6928.79
33,62496.0,41.5,9.8,1312.65,23,2012,13635.51
35,93604.0,81.3,14.8,4052.05,9,2655,60436.8
42,69462.0,59.7,9.2,1101.08,17,1937,10329.49
33,58932.0,58.2,6.1,1575.85,15,1426,9173.62
51,120829.0,93.3,13.1,4371.83,8,3222,56387.68
63,132796.0,77.9,16.0,3129.24,3,3514,50010.64
29,27044.0,36.6,4.3,445.59,27,860,1537.51
56,118972.0,85.8,18.8,3844.04,10,3401,72280.11
18,24767.0,35.2,4.1,369.09,48,812,1564.38
27,25945.0,20.1,5.2,263.31,78,730,246.73
28,26316.0,30.1,2.5,467.32,80,585,1875.26
46,64332.0,58.3,6.1,898.24,35,1678,5122.07
55,135720.0,89.4,14.0,3114.81,1,3548,43639.56
33,63557.0,74.9,5.6,708.23,27,1597,4319.16
45,57151.0,67.2,8.9,1117.3,24,1439,9828.37
27,30870.0,11.4,4.0,549.07,75,837,1510.52
39,60967.0,63.6,9.1,1175.84,21,1607,11489.76
38,70548.0,55.2,7.6,1257.25,16,1626,10853.01
40,69854.0,49.0,7.2,1006.84,28,1738,6761.44
42,138558.0,76.3,11.1,3274.44,6,3412,36017.05
47,124758.0,96.6,13.3,3875.43,5,3244,51496.55
57,136904.0,83.0,14.1,3594.96,6,3368,51345.86
28,26339.0,20.8,5.1,362.72,59,747,1968.02
50,121777.0,86.5,16.8,4004.76,9,3119,68152.29
50,138889.0,72.2,13.2,3664.12,11,3546,48897.68
29,26921.0,23.7,3.0,606.15,55,647,1548.45
25,21939.0,30.1,3.1,262.81,54,560,883.4
46,102455.0,94.3,15.2,2529.47,4,2838,37658.28
39,67557.0,61.5,6.2,1239.51,26,1593,7859.02
42,153382.0,76.5,15.2,3204.39,5,3781,49456.43
53,126995.0,89.3,16.9,2832.88,5,3377,46595.13
25,24406.0,22.1,3.3,438.86,44,613,482.82
43,154575.0,86.8,15.5,2353.86,10,3772,36653.08
22,24178.0,14.3,2.5,351.21,60,710,0.0
42,137197.0,99.8,16.0,3723.46,8,3622,59570.94
39,150266.0,78.0,16.0,2302.18,11,4034,36883.44
22,24908.0,33.7,0.9,523.61,52,553,233.68
25,19843.0,17.2,0.5,521.88,47,347,0.0
31,66658.0,61.2,8.7,911.66,28,1813,7881.97
46,55810.0,65.0,6.7,1074.65,8,1487,7323.96
31,28296.0,28.8,5.4,366.29,54,1084,1800.56
29,27551.0,34.2,2.5,519.66,79,677,672.57
23,30496.0,25.4,5.3,496.39,53,800,3350.84
35,76213.0,57.1,11.4,729.21,25,2205,9135.24
20,24555.0,14.8,3.1,413.65,40,683,1604.96
41,63698.0,70.4,11.1,1531.45,29,1724,17426.33
35,141754.0,76.4,16.3,3907.09,4,3672,63762.07
45,135687.0,70.3,10.9,2796.81,6,3353,30213.19
37,65398.0,64.4,7.5,886.27,19,1527,5798.03
26,29536.0,10.3,5.5,416.06,60,1036,1349.25
26,33467.0,32.8,1.1,238.64,46,686,0.0
31,33111.0,18.8,1.0,329.8,70,557,0.0
44,57343.0,52.0,10.5,1207.51,36,1836,12710.68
39,66478.0,69.5,7.5,1338.26,17,1670,9611.08
31,31837.0,22.0,2.0,368.36,40,688,1381.69
56,144244.0,87.6,15.0,3513.8,2,3622,53740.72
41,65157.0,44.8,11.4,1035.44,13,1876,12001.56
33,165236.0,88.4,16.2,3191.5,13,4010,50646.87
28,30679.0,19.2,4.3,251.51,66,663,638.89
34,25393.0,24.7,2.6,383.29,72,561,666.65
34,21322.0,20.9,4.7,453.83,68,627,1939.99
37,65262.0,58.4,4.7,809.63,26,1699,3887.48
49,143293.0,87.8,15.7,3034.95,10,3839,47602.89
21,26922.0,28.3,3.6,378.66,50,850,621.93
50,105762.0,100.0,13.3,3241.42,11,2780,43415.89
48,73915.0,54.4,10.7,1312.3,20,1989,14747.0
28,22311.0,33.6,3.6,429.93,78,556,2816.33
26,28975.0,38.4,4.3,379.64,87,732,1578.92
35,69936.0,70.2,9.6,1274.54,12,1879,11800.56
26,28481.0,8.3,4.6,508.59,65,776,2107.59
34,75570.0,59.8,11.4,1384.91,34,1914,16397.97
22,27926.0,25.1,3.5,567.26,74,671,3066.3
62,155036.0,77.1,9.2,2502.28,9,3469,23355.35
36,63593.0,45.8,11.5,857.08,21,1843,9994.45
39,57016.0,61.2,7.2,1306.36,20,1246,8889.03
23,23976.0,37.7,4.8,381.47,54,701,1582.45
39,135447.0,88.9,12.3,2357.67,12,3296,29239.93
39,72141.0,45.8,7.5,1573.73,24,1897,11387.24
41,70491.0,55.5,7.7,1133.09,27,1735,8190.33
23,33901.0,34.0,3.5,483.35,57,866,1186.31
53,69836.0,60.5,6.7,1129.22,22,1877,8312.74
49,133114.0,92.6,13.1,2400.3,9,3505,31395.99
55,162549.0,84.8,12.6,4031.87,15,3871,51983.48
24,32805.0,20.1,4.5,341.95,56,834,1539.41
57,100368.0,73.1,15.6,2915.28,10,2773,46060.15
46,138225.0,81.1,15.0,2762.78,6,3536,42810.84
42,137089.0,90.6,17.9,3013.37,11,3674,53928.1
36,60069.0,69.9,7.1,985.81,24,1452,7904.34
21,29297.0,28.8,2.3,316.47,45,645,1216.13
59,107216.0,69.5,18.8,3614.03,7,3024,68145.66
37,66387.0,42.1,8.1,1053.37,17,1734,8091.86
23,25897.0,28.9,2.9,495.67,61,668,1388.28
24,34131.0,20.6,5.0,407.6,49,998,2597.83
30,29308.0,14.0,3.2,386.6,51,680,2291.72
18,28993.0,39.8,4.4,493.26,38,651,2227.61
45,68986.0,59.8,9.8,1176.65,11,1771,11952.4
54,129053.0,85.0,13.5,2843.21,0,3224,37340.15
26,31302.0,27.2,3.4,328.16,49,718,487.44
21,21574.0,28.0,2.5,615.73,46,722,1107.11
37,61566.0,55.3,7.1,712.22,32,1411,4170.36
60,108645.0,84.1,19.2,3352.62,8,3147,63486.11
19,30282.0,22.1,1.3,316.08,69,718,809.84
42,50790.0,56.7,10.3,1496.68,24,1485,15063.72
53,141413.0,89.0,11.4,3509.87,10,3307,39883.35
42,123817.0,85.2,15.1,3783.19,12,3243,56269.24
45,62648.0,58.0,9.7,1095.52,37,1643,10889.7
47,61903.0,62.0,8.4,1512.4,42,1676,12742.56
46,148743.0,96.5,14.7,2965.75,10,3794,44171.69
25,30306.0,19.2,0.7,333.09,78,573,740.14
53,154222.0,85.9,13.4,3068.63,10,3731,40806.49
42,57810.0,41.2,6.8,1023.09,24,1790,6502.51
28,62133.0,56.8,7.4,1079.11,20,1618,8315.12
22,28856.0,24.2,0.4,302.69,51,671,417.73
32,29485.0,19.9,5.4,523.83,63,1004,3019.96
43,133071.0,92.5,16.4,3493.63,8,3435,57825.28
46,133323.0,80.7,15.6,3483.39,4,3541,54869.2
18,36613.0,13.7,2.3,521.31,67,832,1129.19
35,33111.0,28.2,2.0,455.78,59,786,1061.9
45,70327.0,61.0,9.4,1383.91,28,1852,12256.62
46,69180.0,32.5,15.9,730.0,40,2277,12271.88
24,26200.0,12.5,4.0,453.65,53,678,2096.8
24,29329.0,24.7,5.6,401.04,57,986,2429.66
29,63980.0,39.1,6.9,1410.5,21,1649,10184.42
22,22719.0,16.4,2.6,399.39,67,548,255.03
49,121152.0,77.3,17.8,4756.46,11,3266,84717.27
27,25692.0,28.6,3.0,184.71,61,627,939.06
33,65815.0,53.7,7.3,1114.36,14,1741,8359.19
49,123751.0,92.0,7.7,3242.26,3,3006,24918.14
43,134615.0,77.8,13.8,4338.54,9,3432,60357.51
45,124176.0,90.6,16.9,4397.18,6,3424,74453.99
40,58098.0,40.9,2.0,1016.71,37,1379,2289.57
36,70469.0,60.1,8.9,1359.67,28,1784,12162.42
23,32718.0,29.7,1.5,408.18,25,772,159.88
23,32395.0,24.6,3.3,330.71,57,762,1706.91
51,84886.0,67.6,7.8,2816.57,0,2055,22994.78
24,25972.0,13.0,2.9,298.52,53,608,768.62
25,28980.0,22.9,4.0,341.83,85,693,1287.06
40,70745.0,51.7,7.0,1208.61,32,1761,8715.82
33,31030.0,39.2,4.7,306.67,52,927,1212.52
44,126635.0,81.8,16.0,4017.9,10,3258,63218.45
38,68368.0,52.8,7.1,1917.1,37,1798,13265.64
37,102222.0,94.8,11.3,3493.7,7,2535,39333.17
47,122278.0,88.8,11.4,3760.93,0,2846,43539.82
24,40316.0,24.4,5.3,339.44,75,934,1660.42
39,57606.0,39.6,8.2,1147.08,18,1566,10293.67
52,113521.0,89.1,13.8,2150.32,14,3066,29332.48
34,56968.0,41.9,5.5,963.62,33,1293,4752.98
31,29245.0,23.0,2.4,503.99,83,722,733.08
46,130427.0,72.8,14.5,3195.08,6,3406,46097.47
47,121313.0,93.0,13.1,3305.7,10,2977,43411.36
64,140443.0,94.0,5.5,3012.18,6,3000,16102.33
36,75983.0,47.3,5.9,920.7,33,2025,5421.24
22,26270.0,28.8,6.4,438.12,74,840,3350.64
42,80812.0,52.8,11.0,1175.23,26,2015,12089.28
42,60411.0,51.3,6.9,1311.72,14,1527,8903.97
70,122787.0,76.0,17.4,3731.33,9,3410,65049.67
23,28084.0,26.0,3.4,524.77,58,797,2152.13
31,30441.0,35.8,4.9,454.33,60,864,2798.09
51,130740.0,91.1,11.3,2856.49,8,3144,32559.24
30,26050.0,18.3,2.0,475.33,58,720,881.28
27,72095.0,28.6,6.6,890.64,34,1548,6019.39
35,70331.0,57.8,8.6,1443.83,34,1754,12806.43
43,127826.0,86.1,10.8,2157.05,11,2966,23960.92
39,54095.0,69.4,6.1,1304.9,24,1403,8253.93
28,25350.0,43.4,4.0,363.5,71,611,1254.48
37,71793.0,50.2,10.0,1190.25,17,1975,11649.93
59,61634.0,55.0,7.5,1227.35,22,1558,9498.95
52,59805.0,64.2,7.9,1165.15,11,1531,8949.52
41,65180.0,39.7,11.9,732.56,34,1855,8408.69
46,72123.0,72.0,9.8,879.89,42,2097,8773.72
27,27191.0,37.0,6.2,574.96,82,968,3604.93
27,25584.0,20.8,1.7,402.13,75,692,986.39
25,24727.0,40.1,3.2,463.38,57,747,1288.62
48,61998.0,49.2,8.4,1061.11,26,1717,8268.15
18,30173.0,36.3,4.8,507.25,56,665,2387.47
42,125170.0,80.0,15.1,2402.05,9,3344,36506.58
43,106936.0,76.3,15.4,2695.78,3,2873,40938.84
42,121226.0,89.4,11.1,2665.37,15,3080,29025.52
43,52857.0,57.0,6.2,932.29,24,1379,5224.24
39,66318.0,72.5,8.8,1352.55,31,1802,11393.17
38,135900.0,80.5,13.3,3417.25,10,3409,44913.41
32,78396.0,69.1,7.9,1373.8,38,1970,11092.61
29,30252.0,21.3,2.8,471.9,77,842,631.87
26,26462.0,17.0,1.2,560.73,44,486,997.63
24,35326.0,29.9,2.0,483.85,74,1014,624.26
40,65057.0,44.7,4.7,1246.18,25,1662,5594.19
38,65835.0,59.3,5.8,1317.51,16,1552,7187.58
49,177281.0,94.3,14.0,2773.81,7,4367,38645.3
34,28727.0,30.5,1.5,422.47,61,594,1437.36
24,24975.0,29.5,3.6,474.21,42,795,2045.87
41,131084.0,92.5,12.6,2775.97,9,3215,34253.12
56,55311.0,50.8,7.5,1210.33,43,1500,9400.97
47,144351.0,79.8,5.3,3471.7,16,3035,18863.48
26,30016.0,33.4,3.4,475.92,55,834,1304.27
28,24931.0,18.8,0.2,414.17,59,671,617.87
47,124857.0,93.4,4.5,3939.04,6,2726,17244.9
32,74696.0,48.4,6.1,1291.9,10,1852,7894.59
23,31083.0,26.8,2.9,441.95,59,899,756.73
26,28391.0,3.8,2.9,326.45,37,682,549.24
49,56068.0,60.5,4.4,1257.86,27,1373,5219.48
22,34749.0,24.4,2.6,403.2,64,944,1254.07
19,34706.0,18.6,3.4,339.02,85,870,499.61
52,101655.0,69.0,10.3,3181.83,7,2658,32773.76
41,68269.0,60.5,5.8,1559.08,15,1860,9472.32
18,24558.0,37.4,4.8,375.13,44,939,1319.23
23,31802.0,30.7,2.7,289.66,48,698,1194.24
50,128298.0,87.6,16.9,3142.6,2,3341,52234.86
20,28463.0,26.2,2.3,369.48,49,746,1578.19
34,33475.0,23.5,3.7,202.45,76,791,994.71
47,126677.0,89.0,10.3,3815.0,13,2993,38977.19
23,24576.0,33.9,1.5,526.26,80,552,948.97
22,32025.0,32.9,3.9,449.1,74,801,1491.42
27,24684.0,31.1,3.6,412.52,72,553,1354.9
53,135937.0,88.2,13.2,2289.62,5,3355,30309.32
43,128049.0,76.3,9.9,3171.3,10,2995,31558.09
47,126743.0,87.3,14.9,2639.23,12,3059,38249.1
38,59704.0,63.1,6.3,1519.87,14,1499,9040.17
57,69602.0,65.7,10.9,1247.37,38,1983,13064.57
21,24140.0,25.1,3.1,306.07,53,748,528.45
25,22086.0,24.9,1.5,311.25,54,554,599.07
44,98833.0,76.6,13.2,2355.75,12,2521,31403.51
25,34205.0,25.9,2.0,293.49,64,836,0.0
22,29039.0,21.6,2.9,377.87,66,645,1107.07
49,107043.0,65.0,15.1,3081.16,9,2764,45961.51
45,119026.0,93.0,10.8,2962.1,9,2925,32517.72
24,26845.0,24.8,3.7,441.9,48,693,856.0
51,149668.0,80.1,10.9,3482.42,14,3532,37764.91
21,31318.0,24.7,1.9,321.51,49,588,680.3
39,44501.0,58.9,6.8,1087.21,34,1286,6690.29
52,140073.0,72.4,14.5,3634.39,10,3363,52322.13
